Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	41.842%	1	1	1	1	1	0	0	59.9617879	68.7769609	77.0015243	170	15.6753477	0	19.0726297	37.781705	51.6352039	202	24.9297668	0	3.7033708	4.7846518	6	14	1.9199753	2.7690024	
Boo	1	36.2335%	2	6	9.8664328	14	20	4.9337508	18	70.9938646	81.4662315	90.7478248	187	16.0687774	0	17.4906737	33.7172341	45.7472442	212	22.5778559	0	4	5.601678	7	16	2.0554391	2.4257524	
Boo	2	17.3886%	4	11.2019642	14.4311478	18	20	3.7685192	29	82.7047497	94.4235706	104.7006621	202	17.6476363	0	12.9891198	26.2547761	34.9010913	167	18.7604766	0	5	6.4066285	8	16	2.1552703	2.1107737	
Boo	3	3.9806%	6	15	16.633193	19	20	2.7687183	40	94.6171659	107.3451239	118.5462373	209	18.7443141	0	10	20.5756419	27	137	15.0644796	0	5	6.9128021	8	16	2.2674975	1.9412149	
Boo	4	0.5553%	8	17	17.8418873	19.3909091	20	2.0438722	61	108.5755208	121.8503512	133.2981505	238	19.6622235	0	8	15.6223663	21.4534439	109	11.6753391	0	6	7.1683775	9	16	2.3498898	1.8816856	
Goomba	0	41.8998%	1	1	1	1	1	0	0	59.9466383	68.7714953	77	163	15.6978178	0	18.9999385	37.7810658	51.8742072	203	25.0477085	0	3.6321745	4.7843713	6	15	1.9191944	2.7708605	
Goomba	1	36.2069%	2	6	9.8780779	14	20	4.9313329	18	70.9929642	81.4185611	90.5952205	191	16.0531151	0	17.4349729	33.772756	45.6841523	203	22.7088314	0	4	5.5974082	7	16	2.0612986	2.4264325	
Goomba	2	17.4017%	4	11.3260096	14.4393079	18	20	3.7639506	26	82.4761344	94.3496095	104.7163323	219	17.5436956	0	12.9966694	26.2850239	34.8942054	181	18.8121919	0	5	6.4135113	8	16	2.1620301	2.1066907	
Goomba	3	3.9288%	6	15	16.6240983	19	20	2.7700454	46	94.5057915	107.1933415	118	210	18.6464942	0	10	20.4459377	27	159	14.9972908	0	5	6.9504683	8	16	2.2619713	1.9253207	
Goomba	4	0.5628%	9	17	17.7999289	20	20	2.071343	64	109	121.8194741	133.7467532	213	19.5575281	0	8	15.4426084	21	129	11.7603896	0	6	7.1828358	9	15	2.3694357	1.8662047	
Bowser Jr	0	41.9386%	1	1	1	1	1	0	0	59.8961607	68.7974587	77.0380291	171	15.6954344	0	19.1318753	37.8355071	51.6448422	200	24.9826077	0	3.7617802	4.7854554	6	15	1.9168731	2.769699	
Bowser Jr	1	36.2109%	2	6	9.8808434	14	20	4.9295163	18	70.9962833	81.463355	90.7220254	192	16.101788	0	17.4491446	33.6945726	45.6234293	186	22.6101687	0	4	5.6018989	7	17	2.0611536	2.4253719	
Bowser Jr	2	17.3728%	4	11.0429258	14.4304982	18	20	3.762502	29	82.9077196	94.4514241	104.8252835	203	17.5504857	0	12.9831238	26.2361105	34.9415894	198	18.7634065	0	5	6.4173651	8	16	2.160901	2.1068509	
Bowser Jr	3	3.9322%	6	15	16.641758	19	20	2.7637728	48	94	107.0572199	118	205	18.6820626	0	10	20.6983877	27.2360002	149	15.1049184	0	5	6.9551142	8.1849869	17	2.2602516	1.9250292	
Bowser Jr	4	0.5455%	9	17	17.8029331	19.8392857	20	2.060281	69	107.9778736	121.4436297	133	242	19.6602323	0	8	15.52044	21.6505102	107	11.3175599	0	5	7.1033914	9	15	2.3834784	1.9092576	
Donkey Kong	0	41.8169%	1	1	1	1	1	0	0	59.9784475	68.8107966	77.3425598	165	15.6883145	0	19.0671892	37.8408466	51.9858768	195	25.0310994	0	3.3851772	4.7754162	6	16	1.9193636	2.7740124	
Donkey Kong	1	36.2538%	2	6	9.8779852	14	20	4.9318686	17	70.9984818	81.4345972	90.6060438	189	16.0478314	0	17.3059784	33.647979	45.4911005	192	22.6084102	0	4	5.6027203	7	15	2.0609859	2.4254919	
Donkey Kong	2	17.4817%	4	11.3469145	14.448277	18	20	3.7654935	34	82.4552595	94.348084	104.6491098	221	17.5645982	0	12.9858699	26.2927404	34.9740978	187	18.8097232	0	5	6.4117048	8	15	2.1634416	2.1125691	
Donkey Kong	3	3.8999%	6	15	16.6260005	19	20	2.7751535	43	94.6172562	107.2771866	118.0780423	207	18.8145972	0	10	20.6807354	27.4130672	157	15.2305393	0	5	6.9376394	8	16	2.2536661	1.9286905	
Donkey Kong	4	0.5477%	8	17	17.7920394	20	20	2.072809	64	108	121.8765748	133.1368039	224	20.1051579	0	8	15.1320066	21	122	11.3012556	0	5.4807692	7.2159942	9	15	2.4155436	1.8720102	
Dry Bones	0	41.8501%	1	1	1	1	1	0	0	59.9736607	68.8307244	77.3356815	165	15.6990549	0	19.0212967	37.7279361	51.6811789	191	24.9319833	0	3.9934893	4.7901415	6	15	1.9192425	2.7692789	
Dry Bones	1	36.2305%	2	6	9.8733497	14	20	4.9283865	16	70.986886	81.4516664	90.8173886	187	16.0931731	0	17.3548887	33.6295221	45.3910811	196	22.5569464	0	4	5.6039525	7	15	2.0595361	2.4244573	
Dry Bones	2	17.4501%	4	11.1259749	14.4500808	18	20	3.7653187	31	82.5192329	94.4044791	104.9285631	212	17.6149544	0	12.9916827	26.2390645	34.9818062	168	18.7315181	0	5	6.4194073	8	16	2.15641	2.1061197	
Dry Bones	3	3.9131%	6	15	16.6335892	19	20	2.7772391	48	94	107.246812	118.4763401	218	18.8529874	0	10	20.3996065	27	150	15.0317276	0	5	6.9287521	8	16	2.2573857	1.9353454	
Dry Bones	4	0.5562%	8	17	17.7975548	19	20	2.0534063	64	108	121.4363538	133	231	19.6185302	0	8	15.4775261	21.057398	98	11.5467071	0	5.0095663	7.0920532	9	16	2.3577421	1.9011147	
Koopa	0	41.7812%	1	1	1	1	1	0	0	59.9808656	68.8005419	77.0030452	169	15.6548094	0	19.1196388	37.7987588	51.9191011	195	24.9372409	0	3.7780373	4.7868659	6	14	1.9167314	2.769413	
Koopa	1	36.376%	2	6	9.8829227	14	20	4.9340367	18	70.9853434	81.4126539	90.7606526	183	16.0739688	0	17.3123833	33.7119062	45.6918535	199	22.7010057	0	4	5.6009704	7	15	2.0581746	2.4255608	
Koopa	2	17.373%	4	11.2773915	14.4481751	18	20	3.7646414	34	82.6477083	94.3984459	104.7898826	211	17.5312781	0	12.9863932	26.2746388	34.9823812	169	18.7190781	0	5	6.4120705	8	17	2.1640981	2.1120992	
Koopa	3	3.9075%	6	15	16.6354647	19	20	2.7696324	48	94.3190381	107.1843122	118	215	18.7673943	0	10	20.6605502	27	141	15.3075292	0	5	6.9540883	8.8188424	19	2.2738753	1.9258349	
Koopa	4	0.5623%	8	17	17.841188	20	20	2.0581611	59	108.0315689	121.570514	133.450246	236	19.6653751	0	8	15.4917304	21.0440051	121	11.3360497	0	5.8221884	7.1913569	9	15	2.4077539	1.8708874	
Mario	0	41.875%	1	1	1	1	1	0	0	59.8702287	68.7742376	77.2023208	170	15.7095391	0	19.1298009	37.7746484	51.5878034	206	24.9365157	0	3.6404055	4.7853278	6	15	1.9196195	2.7701493	
Mario	1	36.2424%	2	6	9.8791346	14	20	4.9315399	19	70.9880953	81.4548788	90.7955112	192	16.0535345	0	17.3246395	33.6440688	45.4644019	216	22.5970342	0	4	5.598749	7	16	2.058263	2.4271433	
Mario	2	17.3621%	4	11.5380816	14.4378593	18	20	3.7604357	34	82.5535631	94.3365664	104.3555817	199	17.4962542	0	12.9810987	26.2337275	34.9616175	190	18.783657	0	5	6.4035514	8	16	2.1577296	2.1124461	
Mario	3	3.9582%	6	15	16.6343325	19	20	2.7656364	42	94.3022444	107.1287959	118	213	18.6693134	0	10	20.6029256	27.3797649	134	15.1028661	0	5	6.9177909	8	16	2.2508005	1.9384821	
Mario	4	0.5623%	9	16.983871	17.8070425	19.96875	20	2.0913531	64	108	121.5102259	133.4145408	226	20.1488025	0	8	15.4504713	21	87	11.5188219	0	5.9007937	7.2077183	9	16	2.4007003	1.8833363	
Luigi	0	41.8779%	1	1	1	1	1	0	0	59.8227847	68.758486	77.04	167	15.6910683	0	19.0571284	37.8198811	51.966795	217	25.0148524	0	3.6486604	4.783418	6	14	1.9214913	2.771586	
Luigi	1	36.1737%	2	6	9.8789135	14	20	4.929792	18	70.9994378	81.4177206	90.5122112	193	16.0951981	0	17.4277613	33.6856832	45.6185962	203	22.6297912	0	4	5.5976441	7	17	2.0558896	2.4256656	
Luigi	2	17.4247%	4	11.263164	14.4380547	18	20	3.7633452	29	82.5767158	94.4160072	104.5453914	200	17.6107289	0	12.9993461	26.2137368	34.8755272	176	18.733011	0	5	6.4121104	8	17	2.1554638	2.1107623	
Luigi	3	3.964%	6	15	16.6364038	19	20	2.7538829	46	94.4358665	107.2545913	118.373592	209	18.7368418	0	10	20.6073158	27	145	15.0107643	0	5	6.9093088	8	17	2.2686994	1.9456862	
Luigi	4	0.5597%	10	17	17.8259782	20	20	2.057443	64	108	121.493836	133.1077586	215	19.6773648	0	8	15.4645346	21	139	11.4070199	0	5.994338	7.1909952	9	16	2.414625	1.8954797	
Diddy Kong	0	41.8819%	1	1	1	1	1	0	0	59.9100677	68.7690601	77.0849062	175	15.6924781	0	19.1274699	37.8118471	51.8849934	199	24.9918966	0	3.5927944	4.7834625	6	15	1.9218035	2.7700343	
Diddy Kong	1	36.2367%	2	6	9.8848087	14	20	4.9326844	18	70.9945525	81.4396427	90.6949944	179	16.0788789	0	17.4760423	33.7288633	45.5339373	203	22.6180147	0	4	5.6023672	7	17	2.0598338	2.4251988	
Diddy Kong	2	17.391%	4	11.281486	14.4389253	18	20	3.7614501	23	82.3931249	94.3377954	104.6407251	207	17.5585502	0	12.9967874	26.272549	34.9641609	161	18.7609665	0	5	6.4110689	8	16	2.1585108	2.1107642	
Diddy Kong	3	3.948%	6	15	16.6254454	19	20	2.7764061	40	94.5365134	107.3962513	118.3467674	216	18.7141979	0	10	20.5983536	27.3409465	139	15.0765407	0	5	6.9338146	8	17	2.2507235	1.9314336	
Diddy Kong	4	0.5424%	10	16.2040816	17.7557153	19	20	2.095671	62	108	121.5188053	133.0544794	222	20.2298649	0	8	15.4273599	21	115	11.3040522	0	5	7.107854	9	15	2.3813243	1.9227507	
Daisy	0	41.8621%	1	1	1	1	1	0	0	59.9040118	68.7596633	77	163	15.6592427	0	19.1236042	37.8162849	51.9343906	198	24.9858648	0	3.9736838	4.7904716	6	15	1.9168922	2.7690441	
Daisy	1	36.2069%	2	6	9.8797635	14	20	4.9307305	15	70.9919215	81.4607409	90.8072545	185	16.0558595	0	17.3749732	33.7190591	45.7911273	195	22.6624553	0	4	5.5993913	7	15	2.059877	2.4289541	
Daisy	2	17.4437%	4	11.3988755	14.4442068	18	20	3.7627565	34	82.386945	94.3730401	104.6981863	202	17.5963884	0	12.9749985	26.2908041	34.9664721	174	18.8600459	0	5	6.4111398	8	16	2.1554789	2.1112952	
Daisy	3	3.9372%	6	15	16.6412542	19	20	2.7692713	43	94.0213241	107.2058062	118	215	18.6567726	0	10	20.492228	27	138	15.0454125	0	5	6.9190034	8	17	2.2544767	1.9357157	
Daisy	4	0.5501%	8	17	17.8060353	19.8761905	20	2.0676629	62	108	121.4362843	133.8766909	204	19.2533927	0	8	15.6569715	21.1686862	90	11.6778059	0	5.5990566	7.1661516	9	15	2.3577562	1.8907471	
Hammer Bro	0	41.8713%	1	1	1	1	1	0	0	59.7669428	68.754758	77.2234859	165	15.6976763	0	19.0359191	37.801709	51.7856502	205	24.9779773	0	3.6212611	4.7813896	6	15	1.9187724	2.7716049	
Hammer Bro	1	36.2778%	2	6	9.8817624	14	20	4.9277762	15	70.999214	81.4245103	90.7208351	189	16.0463274	0	17.6853196	33.7417567	45.698817	188	22.5894983	0	4	5.5960284	7	15	2.056592	2.4267817	
Hammer Bro	2	17.3969%	4	11.6539968	14.4602465	18	20	3.7540953	23	82.4906313	94.3938748	104.7525623	204	17.609411	0	13	26.2461358	34.9256393	165	18.7415988	0	5	6.4122171	8	15	2.162274	2.1143365	
Hammer Bro	3	3.9015%	6	15	16.6565784	19	20	2.7529917	42	94	107.1032423	118.1842009	210	18.7890549	0	10	20.6711521	27.5460766	157	15.2425416	0	5	6.9082661	8	17	2.2440414	1.9371524	
Hammer Bro	4	0.5525%	10	17	17.8086878	20	20	2.0363566	59	108.1388385	121.6582805	133.3635867	210	19.6791404	0	8	15.27819	21	92	11.4791444	0	5.1737288	7.1480543	9	16	2.366619	1.8879638	
Bowser	0	41.8981%	1	1	1	1	1	0	0	59.7992857	68.7275915	77.0076214	174	15.6411598	0	19.2307327	37.8542464	51.987284	196	24.9785444	0	3.7460381	4.7855869	6	14	1.9206473	2.7710469	
Bowser	1	36.2357%	2	6	9.8831777	14	20	4.9335565	18	70.9933562	81.4481078	90.7341146	185	16.0575678	0	17.4558399	33.7371653	45.7120373	202	22.6529416	0	4	5.6042439	7	15	2.0593498	2.4236264	
Bowser	2	17.3727%	4	11.3551078	14.4366648	18	20	3.76046	29	82.6005347	94.4197333	104.9554448	203	17.5846039	0	12.9905302	26.19187	34.9281248	169	18.7244973	0	5	6.4105522	8	18	2.1600281	2.1138798	
Bowser	3	3.9393%	6	15	16.634561	19	20	2.7710537	41	94.305629	107.1687863	118	204	18.7047605	0	10	20.5246871	27	149	14.9446047	0	5	6.9272206	8	16	2.2569914	1.9349377	
Bowser	4	0.5542%	9	17	17.8495128	20	20	2.0507145	59	108	121.5290509	133.2673926	211	19.5969162	0	8	15.6165644	21	123	11.6913435	1	5	7.1279322	9	16	2.3685315	1.8908336	
Monty Mole	0	41.824%	1	1	1	1	1	0	0	59.7737808	68.7263461	77.1324727	164	15.6899642	0	19.2186506	37.8624976	51.9963359	205	24.9628684	0	3.6653786	4.7824311	6	15	1.9179916	2.7746605	
Monty Mole	1	36.2853%	2	6	9.8741698	14	20	4.9279709	22	70.9811221	81.4473657	90.5908679	193	16.1004468	0	17.3981777	33.702808	45.5904174	212	22.6456732	0	4	5.6050026	7	16	2.0533467	2.4241277	
Monty Mole	2	17.4095%	4	11.4844472	14.4553943	18	20	3.7558813	29	82.3042281	94.3337086	104.5149469	201	17.558044	0	12.986981	26.3059594	34.9155257	191	18.8467578	0	5	6.4098624	8	16	2.1647199	2.1110486	
Monty Mole	3	3.9291%	6	15	16.6464117	19	20	2.748773	50	94	107.0885954	118	210	18.7722998	0	10	20.6806902	27.213172	149	15.2763669	0	5	6.8969993	8	17	2.2542462	1.9409279	
Monty Mole	4	0.5521%	9	17	17.8980257	20	20	2.0337484	60	107.7137277	120.9416772	132.7835956	214	19.7166636	0	8	15.5067922	21	108	11.5925514	0	6	7.1912697	9	16	2.3801091	1.8692266	
Normal Dice	0	41.8031%	1	1	1	1	1	0	0	59.8814021	68.7741651	77.1489504	165	15.6693557	0	19.0049199	37.7838988	51.8066421	211	24.9739622	0	3.6228964	4.784937	6	15	1.9202247	2.7709931	
Normal Dice	1	36.2594%	2	6	9.870811	14	20	4.9298262	20	70.9965209	81.4755925	90.8079531	185	16.0464349	0	17.3284597	33.6997386	45.6681768	196	22.6446006	0	4	5.6044722	7	16	2.0566591	2.4244968	
Normal Dice	2	17.4203%	4	11.2704414	14.4401368	18	20	3.767637	29	82.4513197	94.3746491	104.6328102	206	17.5781236	0	12.975573	26.1496587	34.9809203	189	18.8373875	0	5	6.4051365	8	16	2.1542887	2.1141255	
Normal Dice	3	3.9694%	6	15	16.6411494	19	20	2.7640748	40	94.6046055	107.3506575	118.3164796	218	18.7156071	0	10	20.5721268	27	138	15.1555953	0	5	6.9352043	8	18	2.2545663	1.938958	
Normal Dice	4	0.5478%	9	17	17.7986491	19.6140351	20	2.0724778	61	108.444898	121.8797006	133.3413793	239	19.7684373	0	8	15.6283315	21.7835498	98	11.5676754	0	5	7.1380066	9	16	2.3756272	1.8820737	
Peach	0	41.8989%	1	1	1	1	1	0	0	59.914816	68.8131407	77.1033114	159	15.690347	0	19.1042845	37.7609293	51.5709746	196	24.9554336	0	3.5603544	4.7793856	6	15	1.9195471	2.7710966	
Peach	1	36.2021%	2	6	9.8660129	13.9998553	20	4.9303901	18	70.9938025	81.5000373	90.9050799	186	16.1053468	0	17.3423013	33.6578569	45.5317352	190	22.5952048	0	4	5.6067355	7	16	2.0644086	2.4246356	
Peach	2	17.4082%	4	11.5283221	14.454007	18	20	3.7570156	31	82.6967593	94.3725773	104.6874706	201	17.4859385	0	12.9994761	26.279466	34.9668713	170	18.7937161	0	5	6.4213704	8	15	2.1576148	2.1052895	
Peach	3	3.9409%	6	15	16.6743342	19	20	2.7425053	45	94.1253635	106.994113	118	198	18.6385184	0	10	20.6335355	27.3279474	138	15.1222979	0	5	6.9132178	8	15	2.2626471	1.9364105	
Peach	4	0.5499%	8	17	17.8254228	20	20	2.0872236	56	108	121.3231497	133	230	19.6367946	0	8	15.2635025	21	92	11.0998967	0	5.819407	7.188216	9	15	2.3780761	1.8654301	
Pom Pom	0	41.9349%	1	1	1	1	1	0	0	59.7937312	68.7355592	77.0859748	167	15.6679278	0	19.1828628	37.7740379	51.8274705	197	24.9201741	0	3.7732576	4.7870771	6	15	1.9202677	2.7712955	
Pom Pom	1	36.1699%	2	6	9.8787344	14	20	4.9354347	18	70.9908023	81.4618122	90.8411843	184	16.1164532	0	17.4212789	33.6992306	45.6567284	202	22.6419253	0	4	5.6075687	7	18	2.0611617	2.4235151	
Pom Pom	2	17.4242%	4	11.2195227	14.4453807	18	20	3.7703767	23	82.5473292	94.3772167	104.7936497	218	17.5501315	0	12.9843099	26.2161477	34.9356363	177	18.7133669	0	5	6.4082483	8	17	2.1601118	2.1130784	
Pom Pom	3	3.929%	7	15	16.637486	19	20	2.7695196	42	94.6522809	107.3245864	118.319035	208	18.7450399	0	10	20.5352762	27	142	15.0073619	0	5	6.9278951	8	17	2.2590376	1.9371596	
Pom Pom	4	0.542%	9	16.1326531	17.7551661	19.3701149	20	2.1056989	61	108.2022989	122.1450185	134	211	20.3543336	0	8	15.4588561	21	128	11.4798863	0	5.6938776	7.1686347	9	17	2.3957938	1.8732472	
Shy Guy	0	41.8665%	1	1	1	1	1	0	0	59.9135018	68.7635198	77	165	15.6691743	0	18.9999802	37.7095769	51.5568279	207	24.956856	0	3.7709653	4.7861345	6	15	1.9182864	2.7695962	
Shy Guy	1	36.194%	2	6	9.8661512	14	20	4.9314351	20	70.9995428	81.5156849	90.952001	186	16.1074653	0	17.3238945	33.6575841	45.5231992	208	22.6323235	0	4	5.6060701	7	16	2.0602952	2.4240565	
Shy Guy	2	17.4519%	4	11.1906171	14.4410948	18	20	3.7639236	32	82.4070172	94.3516694	104.584463	202	17.5741706	0	12.9898012	26.2888683	34.9339011	209	18.8252858	0	5	6.4021281	8	16	2.1657915	2.1172537	
Shy Guy	3	3.9389%	7	15	16.6638292	19	20	2.7429322	45	94.9118791	107.2793419	118.4191826	208	18.6137159	0	10	20.6504862	27.1644378	137	15.2316523	0	5	6.9261469	8	15	2.2542912	1.9370129	
Shy Guy	4	0.5487%	10	17	17.8563878	20	20	2.0484755	64	107.9465517	121.1077091	133	210	19.3483474	0	8	15.5172225	21.265625	109	11.2688869	0	5.3472577	7.1576453	9	16	2.4011963	1.8941134	
Rosalina	0	41.8127%	1	1	1	1	1	0	0	59.9477794	68.7833936	77.2382733	170	15.6963336	0	19.2591913	37.8037941	51.7301924	206	24.9407199	0	3.8530435	4.7876172	6	15	1.9168007	2.769448	
Rosalina	1	36.2817%	2	6	9.8623617	14	20	4.9334502	20	70.9917194	81.4867936	90.7598279	189	16.0880324	0	17.3384728	33.6409347	45.5286225	194	22.5958349	0	4	5.5997652	7	16	2.0581976	2.4250187	
Rosalina	2	17.3995%	4	11.0691525	14.427918	18	20	3.7682818	26	82.1327789	94.3839133	104.9506691	202	17.6326494	0	12.9859265	26.1567171	34.9707805	177	18.6894677	0	5	6.4120751	8	16	2.1644477	2.1101698	
Rosalina	3	3.9551%	6	15	16.6219791	19	20	2.7520449	45	94.9416266	107.4024424	118.2389872	222	18.5766885	0	10	20.6435994	27	145	15.0809135	0	5	6.9400268	8	15	2.2535078	1.9277136	
Rosalina	4	0.551%	9	17	17.8711434	20	20	2.0391144	64	107.1645493	121.3533575	133.1016949	220	20.349028	0	8	15.2183303	21.0216837	113	11.4924764	0	6	7.1998185	9	15	2.3847291	1.8729583	
