Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Diddy Kong	4	0.004%	16	17	18	20	20	1.5811388	117	133	134.5	147	147	11.2583302	34	58	57.5	72	72	14.4481833	4	5	6.75	10	10	2.384848	2.75	
Diddy Kong	3	0.036%	14	18	18.475	20	20	1.6731333	83	95	104.5833333	115	130	12.3925941	41	59	65.5833333	71	99	12.6213554	2	5	5.1388889	6	7	1.2282051	2.75	
Diddy Kong	2	0.382%	11	16	17.2535545	19	20	2.2759143	63	86	97.8193717	108	147	16.0651925	32	57	67.0078534	75	130	14.5903016	0	4	5.1125654	6	12	1.9281326	2.8612565	
Diddy Kong	1	1.517%	7	12	14.6549768	17	20	3.0337775	49	74	85.4080422	96.127551	138	15.8016801	29	52.0561224	64.4878049	75	139	16.6716917	0	3	4.1437047	5	12	1.7132375	3.2722479	
Diddy Kong	0	98.061%	1	1	1	1	1	0	0	56	69.8324614	77.4544427	133	15.6441387	15	51.1545656	63.3039843	72.406665	178	17.5400436	0	4	5.0173056	6	14	1.663163	3.0129001	
Boo	4	0.238%	11	17	17.8655462	20	20	2.0392138	83	118	128.0966387	138	176	16.6135989	22	55	66.1596639	77	132	17.374512	1	4	5.4957983	7	13	2.1591079	2.7941176	
Boo	3	1.458%	9	14.96875	16.6126179	19	20	2.7489803	67	107	117.3477366	128	166	16.2503286	18	58	70.2983539	80.3076923	155	17.9777949	0	4	5.7030178	7	14	2.1946447	2.6604938	
Boo	2	6.911%	5	12	14.857674	18	20	3.6429249	47	93.1323342	104.3300535	116	155	16.0948307	18	59.1913265	71.7003328	82	176	18.2913936	0	4	5.6933874	7	15	2.2407961	2.6641586	
Boo	1	19.324%	3	7	11.1663743	15.5066388	20	4.9675826	36	81.3497436	91.8971745	102	144	15.1705932	20	60.8390805	73.1839681	83.8137726	182	18.1481703	0	4	5.5202857	7	15	2.1800436	2.7530532	
Boo	0	72.069%	1	1	1	1	1	0	22	70.9744296	79.7546379	89	130	13.2464759	8	55.9991321	69.3899319	79.9993718	195	19.27282	0	4	5.6929887	7	15	2.1382417	2.7011891	
Bowser	4	0.788%	8	16	17.2626904	19	20	2.4605061	76	136	152.4416244	169	225	24.538541	24	55	67.3743655	78	166	18.243995	1	4	5.9137056	7	14	2.1099631	2.5621827	
