Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	72.122%	1	1	1	1	1	0	27	70.8501705	79.7790688	89	128	13.3968351	17	56	69.3486592	80	187	19.0410354	0	4	5.6927151	7	16	2.1403694	2.7072461	
Boo	4	0.254%	12	17	17.9133858	19	20	1.8949731	86	112	125.2047244	141	172	18.7848735	31	53	65.2125984	75	152	18.8419159	1	4	5.5669291	7	13	2.2328632	2.7795276	
Boo	3	1.514%	8	15	16.7047511	19	20	2.7311551	59	104.25	115.4782034	127.0277778	172	17.6028733	23	57	69.2364597	79	176	17.8616684	0	4	5.6089828	7	15	2.1674483	2.7291942	
Boo	2	6.826%	6	12	14.8356993	18	20	3.6039051	54	93.4328704	104.4717258	116	161	16.3390365	18	59	71.3263991	81.6859568	157	18.1676149	0	4	5.6448872	7	14	2.2315167	2.6762379	
Boo	1	19.284%	3	7	11.2120669	15.2552083	20	4.9594317	32	81.4866071	91.9036507	102	143	15.0832286	24	61	73.3097905	83.8099078	172	18.2407716	0	4	5.5356772	7	14	2.1952558	2.728687	
Bowser	0	51.01%	1	1	1	1	1	0	12	77.8607452	91.5529504	104.8621133	184	19.6350917	2	47.8152999	61.8087042	73.6313621	184	20.3750154	0	3	4.3473437	6	14	2.1478198	3.2039992	
Bowser	4	0.774%	10	16	17.3100775	19	20	2.4488518	67	133	149.2713178	165	217	22.6648718	28	54	68.4392765	79	194	21.1361602	0	4	5.9379845	7	14	2.3496174	2.5968992	
Bowser	3	4.314%	6	14	15.9697327	19	20	3.1959505	58	122.125	137.5071859	153.035	210	22.8804227	18	57	70.8664812	83	145	19.9594576	0	4	5.9188688	7	13	2.2558636	2.5883171	
Bowser	2	15.11%	4	10	13.5408456	17	20	4.2176866	54	107.48126	123.3073461	139.3045499	205	22.8563156	13	58.7337912	72.9346128	85.8962766	173	20.9742261	0	4	5.9114494	7	15	2.299937	2.5915288	
Bowser	1	28.792%	2	4	8.6368647	13	20	5.5568134	27	94	109.2306196	124.3885818	186	21.9565143	16	58.2068135	72.839122	85.3883269	185	21.023045	0	4	5.3743401	7	15	2.2768219	2.8045985	
Bowser Jr	0	18.42%	1	1	1	1	1	0	29	58.8898285	67.5121607	76	120	12.9849204	27	75.1441761	90.6803474	103.7249587	211	22.8814937	0	4	5.1765472	7	13	2.1474155	2.7806732	
Bowser Jr	4	0.926%	10	16	17.5961123	19	20	2.1716179	74	107	119.6263499	132	171	17.429671	24	62	75.9913607	88	169	20.1032951	1	6	7.5010799	9	14	2.3823276	2.062635	
Bowser Jr	3	6.286%	7	14	16.4104271	19	20	2.9187827	55	93	105.0591791	116.0126953	187	17.3494249	20	64.4306641	77.7305122	89	164	19.8256699	0	6	7.2233535	9	16	2.2640803	2.0448616	
Bowser Jr	2	23.496%	4	11	14.2909991	17.9845208	20	3.8678662	42	81	92.5093633	103	172	16.5827954	19	68	82.0600953	93.8720974	213	20.7615882	0	5.7307773	7.0371127	8.2122765	16	2.2361026	2.1202758	
Bowser Jr	1	50.872%	2	5	9.2874234	13	20	4.8540762	32	69.9801157	80.5624312	91	157	15.2402264	18	68.5147368	83.0550794	95.6119933	213	21.5373042	0	4.9654276	6.0595613	7.9404557	15	2.1997366	2.4599387	
Daisy	0	35.468%	1	1	1	1	1	0	63	65.6700515	66.8002143	68	74	1.8432904	21	81	95.9924439	109.5534884	213	21.8283168	0	6	6.8751551	8	14	1.915339	2.1155408	
Daisy	4	0.492%	13	17	18.0325203	20	20	1.9251648	94	111	117.6869919	125	140	9.8250754	46	73	86.2723577	97	145	18.5032135	3	7	8.1869919	10	13	2.163442	1.7601626	
Daisy	3	4.466%	10	14.921875	16.4703509	19	20	2.7732348	76	95	103.3170622	111	133	10.7377133	33	76	89.1401702	100	213	19.8586263	1	7	8.2261532	10	15	2.2943683	1.7321988	
Daisy	2	24.548%	7	12	14.3890734	18	20	3.684176	69	84.2857143	91.9678996	99.7364341	121	10.3119083	19	76.1595765	89.4097279	99.5477673	201	19.28023	0	6	7.6566726	9	16	2.1389567	1.8788496	
Daisy	1	35.026%	4	6	10.3380648	14	20	4.8646478	62	71	78.0322617	84	102	7.9730703	27	76.2292608	90.3346086	102	199	20.8029137	0	6	6.9825273	8	15	2.0100054	2.0935876	
Diddy Kong	0	97.93%	1	1	1	1	1	0	7	56	69.7115082	77	133	15.5755615	20	51	63.1510262	72	197	17.524331	0	4	5.0175023	6	14	1.6572298	3.0121107	
Diddy Kong	4	0.004%	20	20	20	20	20	0	137	137	140.5	144	144	3.5	72	72	80	88	88	8	9	9	9	9	9	0	1.5	
Diddy Kong	3	0.038%	16	17	18.4761905	20	20	1.3669238	73	90	102.6842105	110	134	14.2867352	42	56	69.1052632	82	99	14.7001423	1	4	4.9473684	7	9	2.1636637	2.9473684	
Diddy Kong	2	0.432%	10	16	17.1181435	19	20	2.3552545	60	87	98.9305556	110	140	15.9117878	35	58	69.8935185	79	140	16.8636348	1	4	5.3101852	6	11	1.9605101	2.7962963	
Diddy Kong	1	1.596%	7	12	14.5690821	17	20	3.0385304	51	74	85.3746867	96	134	15.3735023	29	53	64.4385965	75	122	16.0164581	0	3	4.1716792	5	11	1.6849176	3.254386	
Donkey Kong	0	90.998%	1	1	1	1	1	0	0	50	64.8069188	80	150	20.6222989	11	46	58.6694433	68.2496537	163	17.7340617	0	4	5.5222532	7	17	1.9996275	2.6960593	
Donkey Kong	4	0.002%	20	20	20	20	20	0	121	121	121	121	121	0	71	71	71	71	71	0	8	8	8	8	8	0	2	
Donkey Kong	3	0.114%	13	18	18.6206897	20	20	1.4951368	83	107	119.754386	133	187	19.0385396	26	64	75	87	124	18.0904162	3	6	7.3333333	9	12	1.9764698	1.9824561	
Donkey Kong	2	1.462%	9	16	17.4803549	19	20	2.202932	68	88.25	101.9917921	113.6111111	173	18.6229765	27	62.75	74.9001368	85.9166667	149	19.3650831	1	5	6.5554036	8	14	2.0839121	2.2845417	
Donkey Kong	1	7.424%	6	13	15.318818	18	20	3.3324796	60	77.7725	91.0150862	103.48	152	18.7280126	25	57	70.7847522	82	161	19.166994	1	5	6.3838901	8	16	1.982273	2.3941272	
Dry Bones	0	45.798%	1	1	1	1	1	0	30	65	71.5756147	80	110	10.5915926	36	77.2335847	91.7337875	102.9627169	237	20.4168182	0	4	5.7554478	7	14	2.1354061	2.5563998	
Dry Bones	4	0.466%	11	16	17.5622318	19	20	2.2459765	70	111	125.0214592	140	175	20.3318913	33	62	75.8583691	87	161	20.1588463	2	6	7.8240343	9	15	2.3363019	1.8927039	
Dry Bones	3	3.794%	8	15	16.4460094	19	20	2.9109064	50	96.7777778	110.4501845	123.3858025	167	18.6875305	24	65.4166667	79.0859251	90.2314815	174	19.1296797	1	6	7.5218766	9	16	2.3691193	1.9377965	
Dry Bones	2	13.924%	6	11	14.0318962	17.800037	20	4.0935598	43	84	96.6331514	109	160	17.7650126	25	65	78.5969549	89.8344693	200	19.6738527	0	6	7.0764148	9	15	2.2473243	2.1141913	
Dry Bones	1	36.018%	3	5	9.5499059	14	20	5.3437386	35	71	81.6405686	90.2918889	135	15.0109524	24	70	83.9411405	95	223	19.8320893	0	5	6.526459	8	15	2.1976777	2.3010162	
Goomba	0	40.908%	1	1	1	1	1	0	19	51	58.4199668	65.9228942	99	10.4717196	21	65	78.2745184	89	188	19.226895	0	4	5.3407158	7	13	1.881325	2.7385841	
Goomba	4	0.472%	12	17	17.9322034	20	20	1.9775383	75	99	109.5042373	120	153	15.3671171	51	74	87.2881356	98	184	18.9772842	3	7	8.3177966	10	14	2.1873725	1.7330508	
