Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Hammer Bro	1	30.46772%	4	7	11.2997415	15	20	4.8011619	11	60	69.0688624	77.9999	121	12.9002619	16	73.9989168	88.3757117	99.9999278	228	20.6834241	0	5	6.310123	8	17	2.0377496	2.3558586	
Hammer Bro	2	9.96092%	7	12.9981675	15.1828352	18	20	3.5004239	20	70	80.0219116	89.8954559	139	14.0594492	18	73.9987074	87.7160142	98.9984786	225	20.1808098	0	6	7.1055043	8.3749743	17	2.0986262	2.0739691	
Hammer Bro	3	2.1748%	9	15	17.0751504	19	20	2.5126793	36	81.9782184	92.1135737	102	151	14.6568666	23	72.9961933	86.2764116	97.2501487	217	19.6072596	0	6	7.6111642	9	18	2.2006471	1.9184385	
Hammer Bro	4	0.29252%	11	17	18.0793792	20	20	1.8594252	54	94.6362905	105.0724053	115.1222222	159	14.9229534	25	72	85.0961302	95.9609477	196	19.2965317	1	7	8.0977711	10	18	2.2593106	1.791604	
Hammer Bro	0	57.10404%	1	1	1	1	1	0	12	49.1154954	55.9627778	62	100	9.5163179	18	70	83.5834547	93.9978112	231	19.3071361	0	4	5.0822607	6.1372549	14	2.0610169	2.7987631	
Luigi	1	36.0974%	3	6	10.2361731	14	20	5.0203224	26	71.9583403	81.4106528	90.9979738	149	14.0378517	12	68.7642599	82.5952551	93.9995564	230	20.3265111	0	5	6.220146	8	17	2.1528928	2.4157507	
Luigi	2	14.65308%	5	11.1494328	14.4561731	18	20	3.8323543	34	82.9945095	93.6670912	104	159	15.6955462	7	64.9971943	78.5360771	89.9941592	221	19.9114076	0	5	6.9129521	8	19	2.2259878	2.179004	
Luigi	3	3.77354%	7	15	16.5720462	19	20	2.8076355	47	94.4966339	106.1131351	117	181	16.551055	14	63.3202245	76.7202786	87.8269078	211	19.4393315	0	6	7.2097129	9	18	2.3067267	2.0691552	
Luigi	4	0.51926%	10	16.9995496	17.8132727	20	20	2.0770946	61	107.839699	119.5763972	131	189	17.1234006	12	59.929189	72.8460116	83.4703712	191	19.049841	0	6	7.2809383	9	17	2.348739	2.0639757	
Luigi	0	44.95672%	1	1	1	1	1	0	28	63.9988489	71.511782	79	123	11.190058	24	77.9976998	91.8207534	102.9982662	240	20.3057483	0	4	5.4532666	7	17	2.1519995	2.6732689	
Bowser	1	28.97636%	2	4	8.6341267	13	20	5.5608498	10	94.1852258	109.3091568	124.174048	206	21.951301	0	57.9985421	72.7608616	85.6902726	230	21.0232	0	4	5.4062815	7	18	2.2625497	2.7971367	
Bowser	2	15.23344%	4	10	13.509601	17	20	4.2368898	25	107.9914149	123.5284847	138.9987781	227	22.9328055	0	58.9947764	73.3656561	85.9941229	228	20.6951921	0	4	5.8980637	7	17	2.2933828	2.5897736	
Bowser	3	4.4524%	6	14	16.001556	19	20	3.166613	46	120.9919063	136.9008445	152.9694659	235	23.3407294	4	56.3799852	70.3033869	81.9926886	197	20.0079747	0	4	5.9020304	7	17	2.2476945	2.5833348	
