Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Bowser Jr	0	27.9951%	1	1	1	1	1	0	0	58.9956934	67.958607	76.0408227	169	15.417038	0	19.1509407	34.2937943	45.99771	172	19.9189204	0	1	2.2658108	3	11	1.5095406	2.8766999	
Bowser Jr	1	33.8206%	1	3	8.1210945	12.1340127	20	5.6390429	20	70	81.1390336	90.9511633	188	16.1734806	0	16.9880788	30.9546164	41.9967731	169	18.672306	0	2	2.820905	4	12	1.6743289	2.6102642	
Bowser Jr	2	23.5832%	2	8.9998571	12.496801	16.9953196	20	4.811659	26	83.5470463	95.8332839	106.9967163	199	17.9248093	0	14	27.4251374	37.8771706	172	17.3676713	0	2	3.6207003	5	13	1.8606563	2.245518	
Bowser Jr	3	12.7119%	3	12	14.9074796	18	20	3.8779087	31	99	113.2248916	126.1757224	229	20.0622398	0	12	23.8367121	32.9652089	153	15.5891866	0	3	4.5332798	6	14	1.9987035	1.8816306	
Bowser Jr	4	1.8892%	5	14.9928571	16.4710373	19	20	3.079839	45	106.2643507	120.3173301	133.1344343	209	19.9452413	0	8	18.394188	25	122	14.7574387	0	3	4.8004446	6	14	1.987491	1.8200826	
Daisy	0	28.0195%	1	1	1	1	1	0	0	58.9992311	67.9710452	76.2579064	170	15.3914502	0	19.0301588	34.2511108	45.9939452	165	19.8913611	0	1	2.2702475	3	13	1.5123047	2.8745088	
Daisy	1	33.8801%	1	3	8.1263412	12.2393277	20	5.6429923	20	70.1273028	81.1341879	90.9425156	188	16.1414574	0	16.9990525	30.9613136	41.9892535	170	18.7045441	0	2	2.8224592	4	14	1.6769418	2.6120496	
Daisy	2	23.5088%	2	8.9997612	12.5031365	16.989862	20	4.8059076	26	83.7831103	95.8614987	106.9996449	200	17.9216109	0	14	27.4842655	37.9649926	165	17.4578056	0	2	3.6212099	5	13	1.8605919	2.2471457	
Daisy	3	12.67%	3	12	14.9160613	18	20	3.8838911	33	99	113.1200474	125.9963402	222	20.1122945	0	12	23.7854301	32.9640441	141	15.6087697	0	3	4.5302841	6	15	2.000045	1.885075	
Daisy	4	1.9216%	4	15	16.5091322	19	20	3.07315	55	106.9698516	120.2610845	133.1	209	19.7290176	0	8	18.4035699	25	130	14.7528933	0	3	4.7875729	6	13	2.0134962	1.8295171	
Boo	0	28.0229%	1	1	1	1	1	0	0	58.9999835	68.0015202	76.4148852	160	15.437158	0	19.1638325	34.2763775	45.9922449	171	19.9311051	0	1	2.2746361	3	12	1.5142745	2.8701276	
Boo	1	33.8904%	1	3	8.1163023	12.024944	20	5.6375144	12	70.1707295	81.1645422	90.9577237	188	16.1657873	0	16.9949774	30.944114	41.9927329	170	18.630041	0	2	2.8268979	4	14	1.6764408	2.6095443	
Boo	2	23.4831%	2	8.998377	12.4962388	16.9959701	20	4.8097834	26	83.6952622	95.794729	106.9973969	207	17.9493889	0	14	27.4807542	37.9698014	163	17.3868762	0	2	3.6123212	5	14	1.8610389	2.2517215	
Boo	3	12.7022%	3	12	14.9069134	18	20	3.8862463	34	99	113.2369353	126.0548521	241	20.0795899	0	12	23.8004047	32.9431507	152	15.6544696	0	3	4.5250114	6	15	2.0056486	1.8857285	
Boo	4	1.9014%	4	15	16.4878312	19	20	3.0771181	51	107	120.6647207	133.7222047	223	19.8009098	0	8	18.2641212	24.9044605	145	14.7402416	0	3	4.7843168	6	14	1.9790435	1.8161881	
Bowser	0	27.9712%	1	1	1	1	1	0	0	58.972232	67.99724	76.3071656	166	15.4515735	0	19.1279582	34.2519842	45.9943382	194	19.9099174	0	1	2.2760661	3	12	1.5145368	2.8697231	
