Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Bowser	4	1.889%	7	15	16.8396187	19	20	2.7620761	58	130.4691358	147.4155638	164.8580247	229	24.7057729	3	34	48.4944415	60.1203704	131	19.64702	0	3	4.7723663	6	13	2.0916175	1.8650079	
Bowser	3	8.467%	4	13	15.5320587	18.0226386	20	3.4624616	55	121	137.5542695	154	222	24.1949335	6	39	53.96197	65.6596467	187	21.1593519	0	3	4.579426	6	13	2.1080233	1.948506	
Bowser	2	19.856%	3	10	13.3790878	17	20	4.3654219	25	104.8527135	120.268332	135.2634529	209	22.6065036	0	38.3012343	53.0833501	64.6470659	208	20.6092941	0	2	3.8570205	5	13	1.9976452	2.24305	
Bowser	1	31.213%	2	5	9.3607326	13.311743	20	5.2268349	25	91	105.8593214	120.3464687	190	21.4094355	3	37	51.7578573	63.3926952	175	20.7332089	0	2	3.2109698	4	12	1.8808053	2.5447089	
Bowser	0	38.575%	1	1	1	1	1	0	18	77	90.6553208	103.9140294	178	19.6928266	0	32.002682	46.7334543	57.897715	183	20.2819896	0	1	2.5341283	4	10	1.6698836	2.883059	
Boo	4	4.981%	5	14	15.872822	19	20	3.3789544	72	129.4840909	142.9018269	156.563961	207	19.9623566	3	34.8030303	48.7542662	59.9230519	165	19.7043049	0	3	4.8494278	6	13	2.0480609	1.8159004	
Boo	3	17.957%	4	11	14.0064958	17.9210465	20	4.1579045	63	118	131.3562956	144.63	203	19.0316303	5	39.1886048	54.042212	65.8243168	179	20.6807517	0	3	4.5621206	6	12	1.9969063	1.8938019	
Boo	2	28.69%	2	6	10.7262726	15	20	5.1019127	45	103	114.427954	126.1686106	178	17.1720017	0	39	53.755908	65.3103399	190	20.8106483	0	2	3.8180551	5	12	1.9265372	2.2075288	
Boo	1	28.854%	1	1	4.5473025	6	20	5.1019823	30	88	98.767138	110	152	15.8581761	3	38.3564324	53.1821238	64.9642331	178	20.8345431	0	2	3.0438761	4	12	1.7546979	2.5629722	
Boo	0	19.518%	1	1	1	1	1	0	27	70	78.7454145	88	122	13.3313529	0	30.4464375	45.1301875	56.7239299	175	20.552149	0	1	2.1122554	3	10	1.4810178	3.0575366	
Daisy	4	2.631%	8	15	16.7117385	19	20	2.8372593	76	105	115.9885975	126.5281065	160	14.9434721	9	32.2455621	46.3664006	56.1701183	188	19.6122697	0	3	4.6628658	6	12	1.8943957	1.854428	
Daisy	3	10.886%	6	13	15.3569579	18	20	3.555671	66	94.7867647	104.4694103	114	152	13.8149675	4	36	50.4057505	61.5763796	145	20.1708275	0	3	4.1859269	5	11	1.8484687	2.0261804	
Daisy	2	22.72%	5	10	13.4018545	17	20	4.3610357	62	83	90.5376761	98	124	10.6437092	7	38	52.1818662	63	202	20.0986876	0	2	3.3702905	4	10	1.6874869	2.3616637	
Daisy	1	40.113%	4	6	10.0308579	13	20	4.5893863	60	72	78.3364745	84.608004	100	7.5894513	6	39.3267952	53.9750206	64.9452175	193	20.2903801	0	2	2.7099693	4	9	1.5221364	2.6724005	
Daisy	0	23.65%	1	1	1	1	1	0	60	65	66.6020719	68	75	2.1016866	6	43	58.0545032	69.4491173	192	20.9002107	0	1	2.3304863	3	8	1.3816514	2.8302326	
Bowser Jr	4	4.141%	5	14	16.281047	19	20	3.1161685	61	110.1120773	123.2685342	136.4292355	191	19.061495	6	34.4762626	48.3957981	59.026343	144	19.2796142	0	4	5.0277711	6	12	1.9718991	1.7350881	
Bowser Jr	3	15.145%	4	12	14.7384113	18	20	3.8499902	45	99.9695534	112.346451	124.6718969	178	18.2492757	0	38.7262274	53.2895345	64.9068998	168	20.4685546	0	3	4.5127105	6	14	1.9520803	1.9035325	
Bowser Jr	2	27.595%	3	8	11.9698599	16	20	4.7671589	33	85	96.5178474	108	174	16.7497553	7	39.9561013	54.3082442	65.6913024	186	20.5431185	0	2	3.7161805	5	13	1.815948	2.2229752	
Bowser Jr	1	34.698%	2	2	6.6183944	10	20	5.3565607	29	71.153727	82.0470344	92	142	15.2129401	5	40	54.5068592	65.7142946	185	20.3868269	0	2	2.962995	4	10	1.6470033	2.5598305	
Bowser Jr	0	18.421%	1	1	1	1	1	0	26	59	67.9883828	76	122	12.8238273	12	42	56.733185	67.7269259	189	20.5853983	0	1	2.3696325	3	9	1.4356276	2.8346995	
Diddy Kong	4	0.989%	8	15	17.060507	19	20	2.6884451	47	109.28125	123.5834176	138	199	21.3260681	11	39	52.3478261	63	142	19.0074316	0	4	5.3569262	7	12	2.0462314	1.6420627	
Diddy Kong	3	5.124%	6	14	16.0269917	19	20	3.26842	47	98.0267857	112.161007	125.8341837	185	20.0272266	11	41.552005	56.2581967	68	150	20.5209733	0	4	4.8795863	6	13	1.9226202	1.7517564	
