Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	4	4.708%	5	14	15.96352	19	20	3.3590399	73	129	142.171198	155.884058	206	19.6418874	6	33.798419	46.5144435	56.5942029	145	18.4053067	0	3	4.7752761	6	12	1.9812332	1.8708581	
Boo	3	16.816%	4	11	14.1954098	18	20	4.1502184	60	118	130.6760228	143.0990054	193	18.9856833	0	38	51.9017602	63	144	19.5697685	0	3	4.494648	6	14	1.9714832	1.951118	
Boo	2	27.836%	2	6.6837544	10.9150729	15	20	5.0910351	47	102.0861111	113.9173732	125.9960227	174	17.241497	3	37	51.3453082	62.4772727	161	19.8622365	0	2	3.7455094	5	13	1.8772619	2.2737462	
Boo	1	29.34%	1	1	4.9014231	7.4581522	20	5.4198201	38	87.6021614	98.4078391	109.4744357	154	15.9167031	1	36	50.1951602	61.8606642	207	19.9752441	0	2	2.9929107	4	10	1.7395371	2.6276755	
Boo	0	21.3%	1	1	1	1	1	0	28	70	78.9280751	88	125	13.3452139	0	27.7814208	41.7794366	52.5502646	172	19.7118989	0	1	2.0638498	3	9	1.4449063	3.1279812	
Bowser	4	1.846%	6	15	16.8439898	19	20	2.8569847	82	132	149.6684724	167.03125	244	24.5861202	6	32	44.0476706	54	126	16.3949726	0	3	4.5763814	6	12	2.0495924	2.0249187	
Bowser	3	8.32%	4	13	15.5624631	18.2324617	20	3.4971369	54	120.9454545	136.8225962	153.0353535	216	23.9128077	3	36.226087	48.8103365	59.4975845	135	17.3961573	0	3	4.3516827	6	12	2.0165474	2.0605769	
Bowser	2	19.184%	3	10	13.3277002	17	20	4.4018355	44	105.0451128	120.8583194	136.3041018	205	23.001252	3	35.9324675	48.270955	58	141	17.8438599	0	2	3.7001668	5	13	1.9250359	2.3623853	
Bowser	1	31.708%	2	5	9.4707983	13.9656206	20	5.2806965	33	91.2822165	105.8189101	120.3217244	189	21.4313722	0	34.0859283	47.0040999	57.0911917	150	17.7479066	0	2	3.0756276	4	11	1.8258396	2.6560489	
Bowser	0	38.942%	1	1	1	1	1	0	16	77	90.7582045	103.9914977	166	19.6501312	0	30	42.1627035	51.9895329	154	17.1830851	0	1	2.4350573	3	10	1.6159042	2.986955	
Bowser Jr	4	3.958%	6	14	16.2879197	19	20	3.0686983	59	110	123.6255685	136	194	19.2149032	6	32.7160494	44.5411824	54.2932099	123	16.5162635	0	4	4.920667	6	13	1.9452518	1.7700859	
Bowser Jr	3	15.276%	4	12	14.7128002	18	20	3.8468491	55	100	112.4489395	124.9775112	179	18.3731919	3	36.1498724	48.463603	58.1408163	146	16.9782965	0	3	4.4160775	6	12	1.8911775	1.954962	
Bowser Jr	2	28.236%	3	8	11.9759006	16	20	4.7589292	39	85	96.506304	108	160	16.6286213	9	37	48.794376	58.4444444	134	16.7521495	0	2	3.6268593	5	12	1.7647903	2.2936677	
Bowser Jr	1	34.466%	2	2	6.6685462	10	20	5.3633005	31	71.0655926	82.0485696	92.4561076	138	15.3198975	6	37.0507246	49.2169674	58.6267781	139	16.7625886	0	2	2.884814	4	11	1.5950577	2.6578657	
Bowser Jr	0	18.064%	1	1	1	1	1	0	29	59	68.1437112	76.0893522	124	12.984326	12	39.5298132	51.12345	60.0438596	140	16.401197	0	1	2.3534101	3	10	1.4153059	2.9110939	
Daisy	4	2.486%	8	15	16.9275731	19	20	2.6641465	76	104.26	115.1005632	125	158	14.0061023	10	30.93	42.7369268	52	110	16.774952	0	3	4.6259051	6	10	1.8687948	1.9010459	
Daisy	3	10.848%	7	13	15.4276286	18	20	3.4484315	69	94.3061782	104.1395649	113.283908	153	13.3925676	4	35	47.5857301	58	157	18.1689473	0	3	4.1561578	5	12	1.7909111	2.0613938	
Daisy	2	22.87%	5	10	13.4511656	17	20	4.2821592	63	83	90.7536511	98	124	10.6468905	3	36	49.0289462	59.3595312	158	18.6091914	0	2	3.3776126	4	11	1.6773255	2.4158286	
Daisy	1	40.12%	4	6	10.0532991	13.0863002	20	4.6040589	59	72	78.4345464	85	103	7.6569098	6	37.0909635	50.5833998	60.9210756	185	18.707191	0	2	2.7644566	4	10	1.5228741	2.701346	
Daisy	0	23.676%	1	1	1	1	1	0	60	65	66.5849806	68	76	2.0754482	11	40.4540178	53.9638452	64.2660418	154	19.1207395	0	1	2.3869742	3	8	1.3776101	2.856986	
Diddy Kong	4	0.616%	8	16	17.4570637	20	20	2.4582861	70	108	120.0584416	135	175	19.476505	9	35	46.9350649	56	113	17.5945222	0	4	5.0649351	6	13	1.8852652	1.7564935	
