Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	19.46726%	1	1	1	1	1	0	14	69.9986841	78.8376577	87.9999893	132	13.2486997	0	30	44.9689735	56.0615684	214	20.5044365	0	1	2.1196275	3	11	1.4753338	3.0530542	
Boo	1	28.84232%	1	1	4.5616297	6	20	5.1126359	19	87.9994887	98.7641237	109.9984629	159	15.8474505	0	38	53.1967671	64.9993689	262	20.9719776	0	2	3.0458541	4	13	1.7598566	2.5599723	
Boo	2	28.68882%	2	6	10.732906	15	20	5.1150992	37	102.9921177	114.3791275	126.1233431	185	17.2266141	0	38.999231	53.8005321	65.4240873	223	20.7335684	0	2	3.8116688	5	15	1.9173732	2.2105796	
Boo	3	17.98408%	4	11	14.0725332	17.9993191	20	4.150765	48	118.0599362	131.215346	143.9991832	222	19.0665731	0	38.9995146	53.7712899	65.2544922	212	20.5901643	0	3	4.5331237	6	16	2.0187952	1.9149225	
Boo	4	5.01752%	5	14	15.9557539	19	20	3.3392203	57	129.3282315	142.7818364	156.1836348	220	19.7043607	0	34.7200736	48.4964006	59.1922452	184	19.5955542	0	3	4.8083914	6	15	2.0400506	1.8420056	
Diddy Kong	0	49.9283%	1	1	1	1	1	0	0	56	66.7072438	77	140	15.5797548	0	33	47.179797	57.807017	225	19.868839	0	1	2.243933	3	11	1.4007554	2.9206037	
Diddy Kong	1	29.73198%	2	6	10.8214321	15	20	5.2722019	14	70.9994127	83.0470355	94.6179986	158	17.0947999	0	37.9998177	52.9689654	64.4048816	222	20.7703938	0	2	3.1260952	4	13	1.6350437	2.4816679	
Diddy Kong	2	14.19734%	4	11	14.1614683	18	20	4.1519771	19	83.9989032	97.0202799	109.8552759	183	18.6286207	2	40.2352866	55.2363527	66.8884241	216	20.6908201	0	3	3.9804273	5	14	1.8221925	2.1059748	
Diddy Kong	3	5.14528%	5	14	15.9969035	19	20	3.2636167	28	98.340798	112.2480176	125.9768392	205	20.1329888	4	41.4396639	56.259053	67.9847763	209	20.6526833	0	3.9873854	4.8835438	6	15	1.9492171	1.7646775	
Diddy Kong	4	0.9971%	6	15.955978	17.1039734	19	20	2.6495771	47	109.0181758	123.7008324	137.8880831	210	20.7256634	3	38.2782823	52.5149534	63.1859965	193	19.7729752	0	4	5.3955872	7	14	1.9716893	1.6178317	
Bowser	0	38.60136%	1	1	1	1	1	0	11	76.9742483	90.800549	103.9806681	178	19.7016513	0	32	46.7522818	57.9965299	225	20.1729197	0	1	2.5346029	4	13	1.6800586	2.8825477	
Bowser	1	31.21184%	2	5	9.343264	13.1872686	20	5.2235807	11	90.9999068	105.8330486	120.2627265	203	21.3879955	0	36.9947227	51.7634494	63.3563376	220	20.7884238	0	2	3.2164262	4	14	1.8783882	2.5378151	
Bowser	2	19.78142%	3	10	13.3602455	17	20	4.358881	18	104.9979561	120.6744389	135.9996277	220	22.7472362	0	38	53.0808577	64.9452635	208	20.6780179	0	2	3.8803099	5	15	2.0111961	2.2352147	
Bowser	3	8.4763%	4	13	15.5704261	18.1940017	20	3.4594285	26	120.2763022	136.9501386	153.1998888	257	24.2349624	3	38.6073814	53.3635029	64.992456	195	20.6626257	0	3	4.5328197	6	15	2.1062205	1.9688921	
Bowser	4	1.92908%	5	15	16.7992628	19	20	2.8284935	48	130.9887426	147.9048666	164.7431903	247	24.6554399	0	34.1473776	48.4981649	59.5404114	207	19.7866519	0	3	4.7499326	6	15	2.1143968	1.912238	
Bowser Jr	0	18.27374%	1	1	1	1	1	0	23	59	67.9844651	76	137	12.8299792	6	42	56.634655	67.7081947	222	20.4423253	0	1	2.3968744	3	11	1.452955	2.8178993	
Bowser Jr	1	34.51842%	2	2	6.6447056	10	20	5.3717625	28	71	82.0452599	92.1841461	158	15.2914506	3	39.9996826	54.6525745	65.9979635	212	20.4874954	0	2	2.9621402	4	12	1.6367801	2.5602754	
Bowser Jr	2	28.081%	3	8	11.9911121	16	20	4.7532417	31	84.9993657	96.5434386	107.9781859	175	16.744314	3	39.7602256	54.2733742	65.52384	229	20.4605016	0	2	3.7279093	5	14	1.8215547	2.2128507	
Bowser Jr	3	15.06748%	4	12	14.7697497	18	20	3.8370267	42	99.9849673	112.3490166	124.9231456	201	18.3785631	3	38.4977951	53.1569619	64.5576153	208	20.4509431	0	3	4.5318301	6	15	1.94466	1.8881923	
Bowser Jr	4	4.05936%	5	14	16.2974247	19	20	3.1170486	49	109.9974157	122.9900822	135.9756958	216	18.9934405	0	34	48.136657	58.9566378	206	19.6312542	0	4	4.9741388	6	15	1.9595894	1.7510741	
Daisy	0	23.53532%	1	1	1	1	1	0	60	65	66.6066652	68	77	2.0904219	0	42.9980669	57.7949099	69.1869016	222	20.9208516	0	1	2.3270421	3	10	1.3813645	2.8339321	
Daisy	1	40.06968%	4	6	10.0263345	13	20	4.5921739	60	72	78.3410863	84.4663264	103	7.5834019	0	39.0305807	53.9738835	64.9995061	220	20.3362107	0	2	2.7094911	4	12	1.5236235	2.6762425	
Daisy	2	22.77982%	5	10	13.397437	17	20	4.3626723	60	83	90.5565224	97.9998723	127	10.6820602	0	37.5928295	52.1061	62.9990034	235	20.3443881	0	2	3.3666912	4	13	1.7032553	2.3763111	
Daisy	3	10.99944%	6	13	15.3718144	18	20	3.5269959	64	94.9141475	104.4786698	113.9992552	163	13.6684828	1	35.9998055	50.5421803	61.7316292	228	20.2725808	0	3	4.1715524	5	14	1.836141	2.0301379	
Daisy	4	2.61574%	8	15	16.7585471	19	20	2.8039435	73	105.1566746	115.8169849	126	166	14.5383357	0	32	46.0513583	56.1557679	175	19.2999101	0	3	4.6590257	6	14	1.8733951	1.865063	
Donkey Kong	0	50.82802%	1	1	1	1	1	0	0	50	63.1037644	80	170	20.8815764	0	34.9990999	49.6796928	60.9989099	215	20.8006807	0	2	2.7092257	4	13	1.5765757	2.687389	
Donkey Kong	1	25.49512%	2	5	8.9217668	12.5697446	20	5.0681366	20	65.9752488	81.8662528	97.821454	196	23.3018942	0	44.995154	61.1739078	73.9997209	228	22.8513292	0	2	3.3717496	4.5540981	13	1.7862209	2.3657374	
Donkey Kong	2	15.88306%	3	10	13.5428659	17	20	4.2019248	26	79.9965201	96.8366373	112.9907671	218	23.9926711	0	48.7076415	64.4495104	77.0212582	232	22.4833215	0	3	4.1676818	5	17	1.9432937	2.0318956	
Donkey Kong	3	6.36976%	4	13.9110931	15.8035284	18.9994192	20	3.3050345	33	95.9826718	113.4751074	130.2024607	225	25.1666147	3	49.8542556	65.4439351	77.9999079	220	22.2905369	0	4	5.066552	6	15	2.0517434	1.710168	
Donkey Kong	4	1.42404%	6	15	16.9815327	19	20	2.6958993	39	106.9623522	124.7168338	141.9889657	239	25.4667308	3	46	61.281523	73.3234404	192	21.4791979	0	4	5.554226	7	17	2.0632778	1.5764304	
Goomba	0	32.44362%	1	1	1	1	1	0	11	51	58.2781693	65.0144169	104	10.4377222	10	42	56.5839829	66.9979117	223	19.8665787	0	1	2.2078849	3	11	1.366634	2.888145	
Goomba	1	30.25108%	1	1.7595869	7.4354854	12	20	5.9571051	17	64	74.3459546	84	132	14.1179079	5	46.1992696	61.5384628	72.998956	228	21.019785	0	2	2.8922597	4	12	1.5831259	2.5508121	
Goomba	2	22.44996%	2	8	12.0207815	16	20	4.9744544	24	78.9961934	90.243612	101.848924	162	16.3152679	8	47.9999243	62.766339	74.2335378	231	20.9960527	0	2	3.7280449	5	13	1.783678	2.1740645	
Goomba	3	11.82594%	3	12	14.6343699	18	20	3.9912958	34	95.0423821	107.8583335	120.3970272	192	18.290176	7	48.2280294	63.327196	74.9956433	226	20.8977354	0	3	4.7208983	6	15	1.928704	1.7887982	
Goomba	4	3.0294%	5	14	16.2567107	19	20	3.195622	48	107.3199409	120.2157259	133	193	18.8188146	8	45	59.4112762	70.3583059	198	20.0718823	0	4	5.332726	7	14	1.9554713	1.6057305	
Dry Bones	0	26.04128%	1	1	1	1	1	0	25	64.9908772	70.216656	78.70738	115	10.857101	3	45	59.9269099	70.9964768	218	20.6074985	0	1	2.4995522	3	11	1.4686885	2.7413898	
Dry Bones	1	37.91532%	3	5	9.6957768	13.3309799	20	4.9256026	30	71	81.164946	90.4531222	143	13.7469191	1	40.9296819	55.2228735	66.0882926	208	20.4011108	0	2	2.9649319	4	12	1.6122608	2.5521441	
Dry Bones	2	24.45094%	4	10.6077468	13.7739359	17	20	4.1404638	32	83	94.5389412	105.2623255	168	15.7084606	3	39	53.5129553	64.5322499	205	20.183952	0	2	3.6366356	5	13	1.77196	2.2491961	
Dry Bones	3	9.5404%	5	13.8906559	15.8205161	19	20	3.3198603	41	96.7593498	108.7771582	120.9932694	185	17.3558924	3	37.6884072	52.0288478	62.9972382	206	20.1929244	0	3	4.4226385	6	15	1.8892794	1.9332586	
Dry Bones	4	2.05206%	6	15	16.9766347	19	20	2.7083575	53	107	119.4154557	132	187	18.1827874	3	33	46.9867743	57.1880468	187	19.3016481	0	3.928258	4.8456575	6	14	1.9208783	1.8043722	
Hammer Bro	0	15.19112%	1	1	1	1	1	0	14	47.3267553	53.9894702	60.9982972	96	9.6709138	9	45	59.6075905	69.9999129	247	20.1641359	0	1	2.142453	3	10	1.3402371	2.9078383	
Hammer Bro	1	29.31726%	1	1	4.2719847	7	20	5.3135663	17	63.9981541	74.760481	85.9998525	127	15.0617519	6	47.2549554	62.6121254	74.016397	253	21.1445853	0	2	2.8883825	4	12	1.583775	2.5483991	
Hammer Bro	2	30.31132%	3	6	10.5328815	15	20	5.1550139	19	81.2885115	92.2224186	103.9990366	156	16.3030758	6	47.9962795	62.622155	73.9998975	245	20.9817932	0	2.1085611	3.7406322	5	14	1.7820008	2.16163	
Hammer Bro	3	19.45704%	4	11	13.9777945	17.972322	20	4.1860566	32	98.7487507	110.2437935	122	186	17.6760874	3	47.1817154	62.3301006	73.9957332	228	20.9309828	0	3	4.7032837	6	14	1.9212943	1.7884529	
Hammer Bro	4	5.72326%	5	13.9824947	15.8208653	19	20	3.4138981	45	109.9714914	121.8332698	134	194	18.1472912	3	43	57.5099681	68.7459364	211	20.2045024	0	4	5.2470899	6.9029873	14	1.9400231	1.6248642	
Koopa	0	18.53834%	1	1	1	1	1	0	26	57.9996683	67.873637	76.9980066	142	13.8162482	4	41.999565	56.796423	67.9952283	220	20.5225516	0	1	2.5029069	3	11	1.4791543	2.7591478	
Koopa	1	36.0939%	2	3	7.6063405	11	20	5.2516951	28	69.9997199	80.9203489	91	174	15.7348582	0	39.9999827	54.803016	65.9975121	216	20.5149132	0	2	3.0099928	4	13	1.6456917	2.5392291	
Koopa	2	27.88462%	3	8.999984	12.5530654	16.0796071	20	4.566435	34	82.9948064	94.724839	105.9992862	188	17.0735663	0	39	53.840066	64.9975791	229	20.4460364	0	2	3.6938628	5	14	1.8177693	2.2373889	
Koopa	3	13.75562%	4	12	14.9518027	18	20	3.7695405	41	96.6138768	109.6110957	121.9968995	217	18.9172856	0	37.9999323	52.7026728	63.9933386	210	20.4581538	0	3	4.4799885	6	14	1.9386982	1.9204369	
Koopa	4	3.72752%	5	14.1912141	16.4104241	19	20	3.0385224	48	106.8885926	120.156694	132.9985209	215	19.5016627	0	33.9412167	47.6568013	57.998767	195	19.6084463	0	3.9919556	4.9037322	6	14	1.9632969	1.7903915	
Luigi	0	21.71482%	1	1	1	1	1	0	25	62	69.9382274	77.3897628	119	11.2286835	6	44	58.9642134	69.9960913	216	20.5246486	0	1	2.4790636	3	11	1.4649292	2.7599934	
Luigi	1	36.16616%	1	3.3422824	7.9894723	12	20	5.6365346	28	72.6217206	82.9665676	92.9998535	153	14.6377474	3	40.9999749	55.537545	66.9654368	226	20.4938724	0	2	3.0018017	4	13	1.630768	2.536553	
Luigi	2	26.38368%	2	8.9997666	12.5242097	16.9996179	20	4.8293337	31	85.996947	98.0070817	109.9929921	171	17.0854077	0	39.9986137	54.5190466	65.9193499	217	20.3699199	0	2	3.7576638	5	13	1.813566	2.1956611	
Luigi	3	12.61286%	3	12	14.9080694	18	20	3.9330323	43	101.2870974	115.1389423	128.6279098	200	19.5629331	0	38.9997477	53.6024645	64.9903792	206	20.4182731	0	3	4.613198	6	15	1.9391113	1.8581004	
Luigi	4	3.12248%	4	14	16.3253023	19	20	3.2048089	54	113.2841362	127.6307422	141.9465971	211	20.5787957	2	34.8329793	48.654563	59.293223	207	19.6541458	0	4	5.0800005	6	14	1.9737471	1.7193769	
Mario	0	20.67598%	1	1	1	1	1	0	38	65	69.9617992	75	104	7.1234791	2	43	57.929791	68.9982166	252	20.4905957	0	1	2.4534779	3	10	1.4304595	2.762597	
Mario	1	35.66744%	1	3	7.841891	12	20	5.5842775	40	75	83.434625	91.1401175	134	11.4654944	3	40.9303886	55.3202602	66.5663427	225	20.5082288	0	2	2.9816539	4	12	1.6079343	2.5339284	
Mario	2	26.23542%	2	8.1099786	12.3283826	16.1966717	20	4.867044	47	87.9999825	98.1879589	107.9998863	156	14.2872472	0	39	53.9957127	65.0110516	218	20.4660374	0	2	3.71787	5	13	1.7898256	2.2062044	
Mario	3	13.85928%	3	12	14.6448009	18	20	4.0354722	51	102.1282884	114.7800997	126.9491434	205	17.3181901	0	38.0193591	53.1164851	64.4902852	217	20.5422683	0	3	4.5799392	6	14	1.9192311	1.8632801	
