Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	1	19.9039%	2	6	10.3441977	14	20	5.1208831	27	83	93.7001442	104	155	15.3292923	0	20.9911432	35.8986354	48.1408984	154	19.9805408	0	3	3.7515085	5	12	1.5346932	1.5688734	
Boo	2	9.1494%	3	11	14.2854039	18	20	4.0015495	36	96	107.4009826	118.9901243	172	16.7348492	0	20.4621812	35.5772182	47.9801123	150	19.9531327	0	3	4.0938859	5	12	1.5832648	1.4154425	
Boo	3	2.03925%	5	14	16.1709542	19	20	3.1553418	55	108	120.3744269	132.628434	191	17.8270739	0	19	34.6026971	47.2096262	140	20.2177215	0	3	4.3431163	5	12	1.6211822	1.3289445	
Boo	4	0.5477%	6	15	16.961384	19	20	2.7234982	63	121	134.6448786	148.0042644	200	19.600121	0	18.304	34.1539164	46.9100414	144	20.2439939	0	3	4.3542998	5	11	1.5985079	1.3085631	
Boo	0	68.35975%	1	1	1	1	1	0	17	70	79.1493584	88	132	13.2161973	0	23.1681103	38.1482437	50.5121329	161	19.9700803	0	2	3.0104513	4	11	1.449164	1.9413939	
Bowser	1	34.5209%	2	6	10.3863136	14	20	4.955879	17	91.2465084	106.1544789	120.9919892	208	21.5253173	0	16.1333661	30.515214	41.9990724	163	18.4474736	0	1	2.6387754	4	12	1.651471	2.3624326	
Bowser	2	17.58255%	3	10	13.3814455	17	20	4.3552147	28	105.8265228	121.3749286	136.9912673	222	22.9399229	0	15.911778	29.930596	40.9999968	141	18.5599806	0	2	2.8998666	4	12	1.6457084	2.1814157	
Bowser	3	5.97845%	4	12	15.0255204	18	20	3.7657126	48	120.7169445	137.3962733	153.9511763	239	24.3284073	0	14	28.1710142	38.9858147	143	18.283688	0	2	3.0956184	4	11	1.6505453	2.072201	
Bowser	4	2.09745%	5	14	16.3653007	19	20	3.0746128	56	137.9674269	155.872202	173.3026572	256	25.7782671	0	13	26.847696	37.342038	138	18.003292	0	2	3.1575008	4	11	1.6523117	2.0574984	
Bowser	0	39.82065%	1	1	1	1	1	0	8	76.0275113	90.0710887	103.3773496	176	19.8886786	0	14.0004834	27.5691808	37.9976451	149	17.3459334	0	1	2.1972971	3	12	1.5326393	2.6741854	
Bowser Jr	1	46.0743%	2	7	10.9899955	14.9998274	20	4.6947981	24	68	78.8436732	88.9980952	168	15.0488517	0	25.2577622	40.1780103	53.0543937	152	19.8824253	0	1	1.9935951	3	10	1.3496945	2.7509078	
Bowser Jr	2	12.91535%	3	12	14.5505298	18	20	3.8962746	32	80.0686457	91.9632066	102.9939681	166	16.6306431	0	21	35.9465636	48.7094661	139	19.2915802	0	1	2.4629995	3	11	1.4713393	2.4607231	
Bowser Jr	3	3.60545%	5	13.9884925	15.8515359	19	20	3.3008972	40	91.9799256	104.9053794	117	192	18.5243391	0	19	33.4323593	45.7830305	129	18.7901004	0	2	2.6818012	4	10	1.4974585	2.3307354	
Bowser Jr	4	1.00105%	7	15	17.0469507	19	20	2.619349	51	106	120.1215224	133.9919666	197	20.2069921	0	17.1315642	31.4550722	43	122	18.1166448	0	2	2.8211378	4	9	1.5181583	2.2532841	
Bowser Jr	0	36.40385%	1	1	1	1	1	0	20	56.9565319	65.4430136	73.8542945	144	12.7872262	0	29.9960555	44.7739017	58.0701163	151	20.1850192	0	1	1.7706424	2.9564404	9	1.2372535	2.8687721	
Daisy	1	25.34825%	4	4	10.0647065	14	20	5.3099506	60	72	79.4005819	86.7130813	102	8.2936905	0	27.6594322	43.75851	57.6630439	162	21.9150718	0	2	3.3199235	4	12	1.5922844	1.8414841	
