Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Bowser Jr	4	0.731%	7	15	16.8358413	19	20	2.7787303	62	107	121.1039672	135.9722222	197	21.0792946	4	21.5	31.1559508	37	97	13.8205334	0	2	2.8426813	4	9	1.5599766	2.0957592	
Bowser Jr	3	2.966%	5	13	15.661347	19	20	3.4634771	55	92	105.4120027	118	170	18.8822034	6	24	33.7515172	40	118	14.6341064	0	2	2.8118678	4	9	1.5407504	2.1021578	
Bowser Jr	2	10.038%	4	11	14.3417546	18	20	4.074442	38	80.4791667	91.9895397	103	160	16.5884454	6	26.8955059	36.2918908	42.8656358	124	15.0320066	0	2	2.6265192	4	10	1.5007078	2.2048217	
Bowser Jr	1	35.841%	2	7	10.967101	15	20	4.9316764	28	68.5016085	79.1066935	89	145	15.1215161	3	29	38.7467426	45	151	14.9917215	0	1	2.2509696	3	9	1.4081787	2.4099774	
Bowser Jr	0	50.424%	1	1	1	1	1	0	26	57	65.8352769	74	131	12.7772535	6	33	41.591861	47	137	14.0194447	0	1	1.7432572	2.9446623	9	1.2840801	2.5723862	
Diddy Kong	4	0.899%	8	16	17.2858732	19	20	2.4457474	68	106	120.9788654	135	190	20.6647211	8	28	40.7497219	50	120	17.7847933	0	2	2.8253615	4	8	1.5741169	2.0355951	
Diddy Kong	3	3.331%	6	15	16.4751773	19	20	2.9129569	55	92.9904844	107.2365656	121.0605536	172	20.3088698	7	29.3451557	40.8267787	49.4844291	114	16.3491535	0	2	2.7069949	4	9	1.5282811	2.0552387	
Diddy Kong	2	16.313%	4	12	14.8735822	18	20	3.503593	40	81.6645265	94.6643781	108	167	19.3353222	3	27.9762184	39.0481824	47	128	16.3741017	0	1	2.4016429	3	9	1.4802162	2.2317783	
Diddy Kong	1	38.337%	2	8	11.275017	14	20	4.2755022	31	70.9133977	83.2158489	95.8950444	149	18.3061159	3	24.0859489	36.1099721	44.2033426	143	16.5523358	0	1	2.0616898	3	10	1.3956949	2.4927876	
Diddy Kong	0	41.12%	1	1	1	1	1	0	7	56	67.0985409	77	133	15.7567837	5	19.8659044	28.7684339	34	111	13.7619006	0	1	2.1803016	3	9	1.2519561	2.5749027	
Boo	4	0.509%	6	15	16.6954813	19	20	2.8615051	72	119.8125	133.2023576	146	191	19.5001464	7	23	35.8447937	45	107	17.5336185	0	2	2.805501	4	8	1.5518191	2.1748527	
Boo	3	1.853%	5	14	15.853514	19	20	3.2978912	60	107	120.1807879	133	176	18.4436897	3	25.5462963	36.1867242	44.5308642	117	16.0460649	0	2	2.8057205	4	9	1.5300655	2.1883432	
Boo	2	8.211%	4	11	14.0605315	18	20	4.1729976	51	96	107.9042748	120	160	17.2207287	0	24	34.4972598	42	120	15.0656772	0	1.5737013	2.6292778	4	11	1.5342285	2.2863232	
Boo	1	20.657%	2	6	10.3751841	15	20	5.3383831	37	84	94.3040132	105	150	15.4090579	0	23.0421569	33.4830324	40.960081	128	15.1157614	0	1	2.2983976	3	9	1.4487197	2.5224863	
Boo	0	68.77%	1	1	1	1	1	0	27	70	79.0935001	88	130	13.171995	0	21	30.0597063	36	126	14.0567116	0	1	1.7381998	2.4350482	10	1.2687251	2.8938054	
Bowser	4	1.535%	6	14	16.1179153	19	20	3.1482023	80	136.8877551	155.0032573	172	225	25.570532	6	22.9438776	31.8	37.7857143	110	14.4384936	0	1.8877551	2.6566775	4	8	1.5496283	2.2605863	
Bowser	3	4.775%	5	12	14.8935024	18	20	3.7897274	62	120.0178197	137.1260733	153.7372467	223	24.3931589	3	24	34.3558115	41	127	15.0405698	0	1.521045	2.580733	4	9	1.5103571	2.2936126	
Bowser	2	14.437%	4	10	13.2535788	17	20	4.3108083	31	105.6387681	121.3217427	137	213	23.1904435	3	26	36.0194639	43	122	15.0324843	0	1	2.4209323	3	9	1.4724031	2.3946111	
Bowser	1	27.886%	3	7	10.7656118	14.9832823	20	4.8394732	32	91.5130485	106.2848383	121	191	21.705195	0	24.6672617	35.5162089	42.9974091	131	15.3658721	0	1	2.1413971	3	11	1.4443398	2.6142867	
Bowser	0	51.367%	1	1	1	1	1	0	12	77	90.8788327	104	175	19.8050036	0	20	29.7086846	35.9701307	123	14.2811658	0	1	1.7426753	3	10	1.3366405	2.9003251	
Daisy	4	0.557%	11	16	17.4021544	19	20	2.347663	85	108	117.3123878	125	147	11.3749263	6	20.625	30.9802513	38.6875	109	14.9186172	0	2	2.9766607	4	8	1.5210649	2.005386	
