Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Diddy Kong	0	41.0674%	1	1	1	1	1	0	7	56	67.0128715	77	133	15.7880399	2	19.7778605	28.7278669	33.994682	119	13.7646261	0	1	2.1858944	3	10	1.2542631	2.5763842	
Diddy Kong	1	38.3184%	2	8	11.2813553	14	20	4.2650617	17	70.9808732	83.0994353	95.8003889	156	18.2683706	3	24.0755285	36.0078083	43.9996586	138	16.4936504	0	1	2.070885	3	10	1.3952796	2.4874577	
Diddy Kong	2	16.282%	4	12	14.8889988	18	20	3.5080425	40	81	94.4725832	107.9346338	170	19.4575318	3	27.6186869	38.8409163	46.9510325	152	16.279758	0	1	2.3863653	3	11	1.4897812	2.2560128	
Diddy Kong	3	3.4082%	5	14.7857603	16.4545958	19	20	2.900522	55	93.626009	107.2172408	120.9547929	182	19.9445975	5	30	41.9439	50.7724308	128	16.8995978	0	2	2.7287718	4	11	1.5508588	2.0511707	
Diddy Kong	4	0.924%	6	15.7364706	17.0950216	19	20	2.6000036	67	106	121.2854978	136.22	197	21.5304899	5	27.8792157	40.0645022	49.4384	127	17.090115	0	2	2.7645022	4	9	1.5614248	2.0294372	
Bowser Jr	0	50.5762%	1	1	1	1	1	0	20	57	65.8687565	74.0723633	128	12.7463043	0	33	41.6577639	47	137	14.0067512	0	1	1.742974	2.9439407	10	1.285581	2.569592	
Bowser Jr	1	35.6346%	2	6.9987653	10.9738183	15	20	4.9460071	23	68.3815294	79.0805846	89	153	15.0942435	0	29	38.775617	44.9979395	140	14.9722446	0	1	2.251166	3	11	1.4095886	2.4128572	
Bowser Jr	2	10.0726%	3	11	14.3535376	18	20	4.1043582	38	80	92.057026	103	159	16.8581333	2	26.6323587	36.1028533	42.521392	126	14.7317166	0	1.9874783	2.6172786	4	9	1.501411	2.2070766	
Bowser Jr	3	2.9686%	5	13	15.6039929	18.9818022	20	3.4775344	47	91.9029058	105.2021155	118	180	19.0755627	0	24	33.6653641	40	115	14.8461781	0	2	2.7781446	4	11	1.5253352	2.1125783	
Bowser Jr	4	0.748%	6	15	16.8224599	19	20	2.7464179	61	107	121.3951872	135.55	208	20.4487092	3	21	31.4270053	37.38	113	14.6867203	0	2	2.8860963	4	9	1.5772003	2.0644385	
Donkey Kong	0	73.48%	1	1	1	1	1	0	0	50	63.4055253	80	160	21.3803809	0	25	35.1374633	41.9869284	134	15.2004673	0	1	1.5377246	2	11	1.2092921	2.7840174	
Donkey Kong	1	17.95%	5	11	14.0068477	17	20	3.6303707	50	64.1434707	80.2189526	92.9915527	187	20.0151047	3	32.5641421	43.3201114	51	146	15.9898349	0	1	1.8688468	3	9	1.2095129	2.540468	
Donkey Kong	2	7.2228%	6	13	15.3303384	18	20	3.3159881	60	81.958153	98.3338594	112.7863436	200	21.8749154	3	30.927352	41.2277787	48.2047619	139	15.6617627	0	1	2.1964335	3	9	1.346619	2.3385945	
Donkey Kong	3	1.1962%	7	15	16.8286817	19	20	2.7077103	72	99.3151042	116.6171209	131.9223485	224	22.8401876	6	30	40.4880455	48	124	15.8560676	0	1.1753827	2.4734994	3	9	1.402523	2.1640194	
Donkey Kong	4	0.151%	10	17	17.8834437	20	20	2.0950092	85	118.0555556	135.3960265	150.1666667	219	23.1408755	8	28	38.589404	46	118	15.2947515	0	2	2.5417219	3	8	1.3931886	2.0887417	
Bowser	0	51.288%	1	1	1	1	1	0	4	76.9984453	90.8509983	103.9965902	176	19.8503661	0	20.0487688	29.8098464	35.9966549	128	14.3884189	0	1	1.7490602	2.9995378	10	1.3378143	2.8983388	
Bowser	1	27.9074%	3	7	10.7776482	14.9948743	20	4.820434	15	91.3747662	106.2524277	120.9732214	193	21.6059834	0	24.9949833	35.5377212	42.9983246	137	15.4011072	0	1	2.1387732	3	11	1.4501291	2.6113074	
Bowser	2	14.5174%	4	10	13.2922334	17	20	4.2799197	26	105.2334413	121.365644	136.9985133	212	23.1238615	3	25.9896279	35.8847039	42.9264264	134	15.1571696	0	1	2.4260818	3	10	1.4903501	2.3916679	
Bowser	3	4.814%	5	12	14.9119481	18	20	3.777635	48	119.9803157	136.8567511	153.8111092	239	24.6593325	0	24	34.1746572	40.9514594	130	14.860095	0	1.2188679	2.5861238	4	10	1.500048	2.2953054	
Bowser	4	1.4732%	6	14	16.1744502	19	20	3.140973	79	137.4700295	155.3828401	172.8927875	259	25.6565919	3	22.1810865	31.8218843	37.9028853	120	14.2615131	0	1.8961039	2.6019549	4	9	1.4997933	2.2868585	
Daisy	0	45.174%	1	1	1	1	1	0	60	65.9968574	67.0227432	68	77	2.0881069	0	25.6170052	35.5622172	41.9991996	135	15.0782204	0	1	2.033869	3	9	1.3198877	2.4765972	
Daisy	1	39.7762%	4	4	9.1196987	13	20	5.1849777	60	74	81.2434421	88	101	8.2737126	0	27	37.9177599	44.9978973	137	15.4938837	0	1	2.4177272	3	10	1.4284631	2.3522207	
Daisy	2	11.1464%	6	11	14.3435394	18	20	3.9365392	64	87.2095567	93.4486292	100	123	9.4042828	3	25.9858698	36.4995873	44	130	15.4932184	0	2	2.8756908	4	10	1.5301861	2.1104751	
Daisy	3	3.3352%	8	14	16.0837219	19	20	3.1257828	71	96	104.0612857	111.9696402	140	10.983648	3	22	32.2734469	39	117	15.0752154	0	2	2.9593428	4	10	1.5623761	2.0575678	
Daisy	4	0.5682%	10	16	17.3474129	19	20	2.3180803	80	108.2028061	117.0654699	125.2438424	150	11.4095902	0	20.2704082	30.1158043	36.4876847	104	14.2980653	0	2	3.0872932	4	9	1.5636615	1.9894403	
Boo	0	68.884%	1	1	1	1	1	0	17	70	79.0726613	88	132	13.155573	0	21	30.1437518	36	126	14.2028435	0	1	1.7417543	2.4558921	10	1.2736963	2.8930318	
