Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	66.094%	1	1	1	1	1	0	22	70	78.6905922	88	128	13.1588627	0	21	30.2722184	36	128	14.1587397	0	1	1.8039156	3	8	1.3026734	2.9312494	
Boo	4	0.696%	7	14	16.4942529	19	20	2.9356061	76	124	137.9942529	154	190	19.836399	6	24	35.795977	45	116	16.0477479	0	2	2.7413793	4	9	1.4726668	2.2126437	
Boo	3	2.306%	5	13	15.4217189	18	20	3.4819466	74	110.9	124.3139636	138	176	18.5188389	9	26	37.3330442	45	107	16.3650918	0	2	2.9332177	4	8	1.5199905	2.1682567	
Boo	2	9.628%	4	10	13.567696	17	20	4.3943354	53	99	110.7322393	123	171	17.782919	6	25	35.2976735	42.0943396	121	15.1174356	0	2	2.6990029	4	9	1.5463249	2.3209389	
Boo	1	21.276%	2	4	9.3716156	14	20	5.6442795	29	84.3456048	95.5774582	106.8807588	146	15.8666233	3	24	34.0904305	41.4995692	115	14.9918227	0	1	2.3669863	3	10	1.4818982	2.5660839	
Bowser	0	50.332%	1	1	1	1	1	0	23	76.9200451	90.5248748	103.8957118	165	19.7674712	0	19.4504469	28.9653103	35	113	14.2550043	0	1	1.8280617	3	9	1.3677497	2.9351903	
Bowser	4	1.414%	6	14	16.3239038	19	20	3.0900731	73	137	154.3154173	171.0625	236	25.9706248	6	21	31.8472419	37	99	14.7983858	0	2	2.7736917	4	8	1.57679	2.2772277	
Bowser	3	4.888%	5	12	14.842907	18	20	3.7524662	45	120.9444444	137.5756956	154.7777778	213	24.9579105	6	23	33.339198	40	118	15.3011746	0	1	2.6182488	4	8	1.5512028	2.3956628	
Bowser	2	14.864%	4	10	13.3336483	17	20	4.2594769	52	105	121.3720398	137.6160714	205	23.0883439	0	24.1173469	34.9681109	42	122	14.8680211	0	1	2.4425457	3	10	1.5190514	2.4868138	
Bowser	1	28.502%	3	7	10.8449303	14.9981217	20	4.755908	34	91	105.9608449	120.8221618	185	21.7317229	3	24	34.5502772	42	124	15.1290492	0	1	2.1799172	3	10	1.4843863	2.6709705	
