Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	68.87946%	1	1	1	1	1	0	10	70	79.1048702	88	132	13.1500422	0	21	30.1547039	36	139	14.1592054	0	1	1.7406736	2.5739809	11	1.2735878	2.8927875	
Boo	1	20.45098%	2	5.9996449	10.3026843	15	20	5.3203229	16	83.9995865	94.3487334	104.9992965	159	15.4348625	0	23	33.5391859	40.9965416	145	15.1524391	0	1	2.3040265	3	12	1.4539349	2.521266	
Boo	2	8.23702%	3	11	14.0520546	17.9989025	20	4.1340029	36	96	107.8913782	119.5582087	176	17.0269464	0	24	34.4365729	41.6747095	135	15.1383802	0	1.9926833	2.6326317	4	12	1.5302172	2.2927685	
Boo	3	1.89038%	5	13.970873	15.8414086	19	20	3.3302719	48	107.3106237	119.9822575	132.1792502	188	18.2180802	0	24.1892158	35.6522498	43	139	15.6453452	0	2	2.8493636	4	11	1.5561492	2.1518002	
Boo	4	0.54216%	6	15	16.7064704	19	20	2.8467276	54	120.6206086	134.2125203	147.9934234	207	19.8350925	0	23.9772971	35.3330751	43.6755218	133	16.7049225	0	2	2.8949388	4	11	1.5723277	2.1159805	
Bowser	0	51.35226%	1	1	1	1	1	0	6	76.97518	90.8904913	103.9970166	186	19.8408756	0	20.0335159	29.7490455	35.9984297	136	14.3157732	0	1	1.7488593	2.9997832	11	1.3352996	2.8978362	
Bowser	1	27.95162%	3	7	10.7620046	14.9988196	20	4.8217189	14	91.3106104	106.2202119	120.9963508	208	21.625602	0	24.9235366	35.5652832	42.9541613	156	15.3967203	0	1	2.1382117	3	12	1.4524757	2.6118658	
Bowser	2	14.45416%	4	10	13.2836387	17	20	4.2846349	27	105.2999073	121.3317218	136.9980136	219	23.1167498	0	25.9927589	35.8160709	42.9936182	140	15.1269802	0	1	2.421397	3	13	1.4887764	2.3992069	
Bowser	3	4.77516%	5	12	14.8792687	18	20	3.7728296	43	119.9916938	137.1441501	153.9872248	238	24.7347926	0	24	34.3840039	41	146	14.9433542	0	1.4136444	2.5897352	3.9964055	12	1.5051114	2.2905327	
Bowser	4	1.4668%	6	14	16.2182438	19	20	3.1176696	67	136.9663461	155.0078811	172.8751649	255	25.9129349	3	22.3206077	31.879111	37.9499869	131	14.5046762	0	2	2.6229343	4	11	1.5019695	2.2666212	
Bowser Jr	0	50.52728%	1	1	1	1	1	0	20	57	65.8954125	74.1960155	136	12.7716902	0	33	41.6741333	47	143	14.0960445	0	1	1.7444003	2.8330105	10	1.2841764	2.5691377	
Bowser Jr	1	35.70648%	2	6.9990712	10.9836997	15	20	4.9477259	23	68.1042245	79.0442592	88.9999935	159	15.1173999	0	28.9998428	38.8008479	44.9996551	153	15.014876	0	1	2.250303	3	10	1.4100624	2.4114038	
Bowser Jr	2	10.09024%	3	11	14.3318016	18	20	4.0930557	33	80	92.182739	103.4473699	174	16.8274621	2	26.2007612	36.1188079	42.2585687	141	14.8765437	0	1.9992033	2.6295628	4	11	1.5098787	2.2079752	
Bowser Jr	3	2.94164%	4	13	15.6238466	18.9724808	20	3.4730526	37	91.9705465	105.1954284	117.9622758	188	18.8960629	2	24	33.9255925	40	132	14.9371586	0	2	2.7778382	4	11	1.5300586	2.1138957	
Bowser Jr	4	0.73436%	6	15	16.7755597	19	20	2.8004001	51	106.9385721	121.4888066	135.7384766	200	20.6288712	0	21	31.5265265	37.5277519	123	14.750707	0	2	2.8971622	4	11	1.55292	2.0402255	
Diddy Kong	0	41.09402%	1	1	1	1	1	0	0	56	67.055794	77	133	15.8218443	0	19.8124667	28.7265101	33.9989167	127	13.7338589	0	1	2.1888275	3	10	1.2560518	2.5734542	
Diddy Kong	1	38.32216%	2	8	11.279266	14	20	4.2690864	14	70.9984313	83.1582672	95.8934954	166	18.2703458	2	24.2242931	36.0619083	44.0629375	144	16.5256504	0	1	2.0724051	3	12	1.3955403	2.4853015	
Diddy Kong	2	16.27856%	4	12	14.8903362	18	20	3.5059112	25	81.1184683	94.5496457	107.9877656	177	19.4238143	3	27.5046337	38.8830695	46.9878578	180	16.3766474	0	1	2.3886253	3	11	1.4923441	2.2575142	
Diddy Kong	3	3.39394%	5	14.9996033	16.467916	19	20	2.8885305	39	93.1690128	107.2061969	120.8988808	193	19.861902	3	30	41.8481293	50.267476	145	16.8666019	0	2	2.7354638	4	11	1.5562427	2.0561353	
Diddy Kong	4	0.91132%	6	16	17.1567616	19	20	2.5390652	58	106.2764157	121.2531493	135.4266187	211	21.1187572	3	28	40.14682	49	142	17.1196092	0	2	2.774898	4	11	1.5495172	2.0220998	
Daisy	0	45.27808%	1	1	1	1	1	0	60	65.9998083	67.0250072	68	77	2.0920093	0	25.592149	35.5671212	41.9991607	141	15.0741225	0	1	2.0349149	3	10	1.3189739	2.4737714	
Daisy	1	39.72546%	4	4	9.1213865	13	20	5.1837834	60	74	81.2501403	88	104	8.271928	0	27	37.8776966	44.9999513	140	15.4309753	0	1	2.4159589	3	12	1.4273955	2.352373	
Daisy	2	11.13952%	6	11	14.3493278	18	20	3.9260469	65	87.097877	93.4179085	100	126	9.4280322	0	25.9959186	36.5363355	43.9995199	143	15.5123176	0	2	2.8835641	4	12	1.5355392	2.1075325	
Daisy	3	3.28852%	8	14	16.0961851	19	20	3.1271708	70	96	103.9676937	111.8001067	141	10.9190035	0	21.8976416	32.2938647	39	136	15.1064186	0	2	2.9679309	4	11	1.5716963	2.05504	
Daisy	4	0.56842%	9	16	17.3777137	19	20	2.3187792	81	108.2071835	117.1091798	125.0653989	158	11.4447441	0	20	30.1658633	36.6285264	116	14.8027198	0	2	3.0664298	4	11	1.5800044	2.0007037	
Donkey Kong	0	73.53428%	1	1	1	1	1	0	0	50	63.4261408	80	170	21.37594	0	24.9999877	35.0991546	41.751119	142	15.2079323	0	1	1.5388097	2	10	1.2082511	2.7844268	
Donkey Kong	1	17.9291%	5	11	14.0135995	17	20	3.6305629	50	64	80.2169233	92.9992389	182	20.0525273	3	32.3810098	43.3338104	50.9992878	150	16.0716523	0	1	1.8661193	2.9998931	10	1.2082878	2.5468875	
Donkey Kong	2	7.20316%	6	13	15.3546532	18	20	3.3119189	60	81.9844522	98.245048	112.6951325	213	21.8519049	3	30.9975272	41.3081592	48.4195814	144	15.7613097	0	1	2.1856546	3	12	1.3388407	2.3448459	
