Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	22.8367%	1	1	1	1	1	0	17	68.9787532	77.4507459	86	132	13.2826434	0	21	34.5946371	46	148	18.3182312	0	1	1.5445051	2	9	1.1717892	3.0787789	
Boo	1	28.76125%	2	5	8.8499384	13	20	5.0973203	21	82	93.0840332	104	156	15.7661622	0	21	34.7930549	46	156	18.4217335	0	1	1.9674145	3	9	1.3206657	2.7822174	
Boo	2	25.5099%	3	8.1879438	12.3854775	16	20	4.6973612	35	94.3917069	106.6656671	119	180	17.716712	0	17.7566152	30.3988569	40.9975733	143	17.2808958	0	1	2.3892018	3	10	1.4122262	2.535839	
Boo	3	14.71625%	4	12	14.6958674	18	20	3.9378143	47	107.9638741	120.6987752	133.9941011	202	19.0701766	0	15	26.5099261	35.7448598	140	15.9076014	0	2	2.7877041	4	10	1.4660794	2.3153385	
Boo	4	8.1759%	5	14	16.1801575	19	20	3.2169405	51	124	138.7884637	153	217	21.0865941	0	12	22.4395541	30	120	14.0978274	0	2	3.2125638	4	12	1.5029249	2.0985518	
Bowser	0	28.69035%	1	1	1	1	1	0	3	78	91.4993334	104	177	19.5045457	0	18	31.8608783	42.9949085	147	18.2543175	0	1	1.8496411	3	9	1.3070982	2.8638584	
Bowser	1	26.71405%	1	4	8.444165	12	20	5.1892622	13	92	106.4082908	121	202	21.4806035	0	17	30.4037258	40.9895613	160	17.5895599	0	1	2.3788362	3	10	1.436529	2.5378967	
Bowser	2	25.32235%	2	10	13.0432139	17	20	4.3002715	21	105	120.284628	135.9978101	214	22.7174161	0	15	27.5023546	37	154	16.6497475	0	2	2.755159	4	10	1.5063166	2.3302675	
Bowser	3	13.31485%	4	13	15.5173336	18	20	3.4241997	30	118	134.051743	150	243	23.5265011	0	13	24.3944731	32.6005795	130	15.3374104	0	2	3.0852882	4	11	1.5392524	2.1649812	
Bowser	4	5.9584%	5	15	16.8774084	19	20	2.7510404	56	133.0506632	150.4384986	167	252	24.9077402	0	11	21.0935234	28	136	13.6849742	0	2	3.4149017	4	12	1.5713565	2.0067971	
