Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Bowser	0	27.7528%	1	1	1	1	1	0	4	77.9020552	91.4190352	104.2433593	176	19.5121398	3	35	49.2000663	59.9860163	181	19.9594494	0	1	2.2767505	3	10	1.5108997	2.9868554	
Bowser	1	26.563%	1	4	8.2683177	12	20	5.2012199	21	91.9669084	106.5543651	120.9982864	194	21.5470201	6	40.6390607	55.0606332	65.991276	208	20.4095076	0	2	2.9394647	4	11	1.6985643	2.6366901	
Bowser	2	25.6912%	2	9.9929403	12.9482972	16.6980198	20	4.3248339	27	104.9663052	120.567564	135.9828932	216	22.7332542	6	42	56.2853584	67.139886	199	20.1330371	0	2	3.4768403	5	12	1.8127514	2.3745485	
Bowser	3	13.793%	4	13	15.4707047	18	20	3.4359608	42	118.0033945	134.4488074	150.6184089	227	23.6102161	0	41.1286555	55.4571449	66.1639634	183	19.8209423	0	3	3.9886754	5	13	1.8676663	2.1290365	
Bowser	4	6.2%	5	15	16.8666129	19	20	2.7660933	61	133.6148035	150.5258065	167.0574279	247	24.8304115	8	39.7993472	53.6278387	64.2290185	172	19.5579976	0	3	4.4481935	6	13	1.8722317	1.9262581	
Boo	0	23.656%	1	1	1	1	1	0	17	68.6310524	77.4298698	86.0392639	130	13.256575	0	32.7823196	47.0796923	57.9726053	174	20.3450454	0	1	2.0548698	3	9	1.3586977	3.079557	
Boo	1	29.0164%	2	5	9.1364718	13	20	5.0433556	29	82	92.7272301	103.3803777	150	15.6357518	3	38.9970854	53.5139852	64.999155	189	20.6950677	0	1	2.528894	3.2855468	11	1.5482333	2.8144291	
Boo	2	25.3116%	3	9	12.5733948	16.2500106	20	4.6309115	40	94	106.0915154	117.9969245	180	17.6196225	3	39	53.6583306	64.9563695	191	20.2196184	0	2	3.0720855	4	12	1.6963026	2.5440905	
Boo	3	14.2524%	4	12	14.8086755	18	20	3.8813778	46	106.9982417	119.8710673	132.9575319	195	18.9862508	0	39	53.3598832	64.0967098	178	19.9843272	0	2	3.6784401	5	13	1.7881406	2.2435941	
Boo	4	7.7636%	5	14	16.27902	19	20	3.1518368	58	123	137.6640218	151.9937313	223	20.8973199	3	38	52.2279097	62.9196148	162	19.4837796	0	3	4.3184347	5.7002775	14	1.8495002	1.9556391	
