Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	26.584%	1	1	1	1	1	0	22	68.6641307	77.3301234	86	125	13.175005	0	34.1957447	50.8896329	63.5266204	173	22.5099354	0	1	2.2004965	3	9	1.4147634	3.0115107	
Boo	4	6.292%	5	15	16.432295	19	20	2.9865176	74	122.0136719	136.3572791	149.8203125	203	20.4471503	5	40.7558594	56.579466	68.9101562	157	21.9626672	0	3	4.5101716	6	11	1.8997586	1.8951049	
Boo	3	12.538%	4	12.9876276	15.1396707	18	20	3.7137246	57	105.0625	118.1449992	131	181	18.8394379	9	41	56.7943851	69.4336847	181	22.2233402	0	2.1607143	3.7824214	5	12	1.8433302	2.2281066	
Boo	2	24.284%	3	10	13.1418101	17	20	4.453246	47	92.935307	104.5929007	116.0961194	166	17.3098173	3	40.8963625	57.2683248	70.1422886	180	22.7084205	0	2	3.1789656	4	11	1.7080648	2.5082359	
Boo	1	30.302%	2	6	9.9944971	14	20	4.9060668	29	81	91.8668075	102.3566893	148	15.5200208	3	40.6196618	57.1026995	69.9069373	180	22.9709596	0	1.2140496	2.6544123	4	11	1.5883649	2.7589598	
Bowser	0	27.74%	1	1	1	1	1	0	10	78.341573	91.7631579	104.1535191	159	19.3481013	5	36	50.7793079	62	167	20.9759423	0	1	2.4224225	3	11	1.5536553	2.9490988	
Bowser	4	6.206%	6	15	16.8495005	19	20	2.7340323	78	133.8505859	150.2052852	166.1386719	238	24.2191908	12	40.6884766	55.3341927	66.8154297	174	20.3157356	0	3	4.5249758	6	12	1.9120034	1.9355462	
Bowser	3	13.948%	4	13	15.4522179	18	20	3.4297591	57	118.0848214	134.2159449	149.9961538	230	23.6709979	11	42.0554847	57.4049326	68.8777477	170	21.1721489	0	3	4.0997993	5	11	1.8821204	2.1088328	
Bowser	2	25.396%	2	9.9832848	12.936685	16.6821162	20	4.3528191	41	104.4760199	120.1460072	135.6467236	213	22.8554238	9	43	57.868562	69.3190323	189	21.041038	0	2	3.5435502	5	11	1.8029049	2.361868	
Bowser	1	26.71%	1	4	8.2923332	12	20	5.2693527	29	92.6605512	106.8310745	121.6069731	196	21.3789802	5	41.9783951	56.9454137	68.8247059	167	21.1006275	0	2	3.0791464	4	11	1.7399945	2.5933358	
Bowser Jr	0	9.19%	1	1	1	1	1	0	29	59.5124	68.6568009	77.224	121	12.9728584	22	47	58.3375408	66.4568	143	15.9976704	0	1	2.3508161	3	8	1.3837613	2.8389554	
Bowser Jr	4	8.764%	7	15	16.7768142	19	20	2.7928531	58	107.0364583	120.1777727	132.4244792	187	18.9128687	6	36.4661458	48.1976267	57	148	16.3308226	0	3	4.2065267	5	11	1.758989	2.0109539	
Bowser Jr	3	18.176%	5	13	15.4365999	18	20	3.394123	53	93.8918822	105.524868	117	164	17.2953081	10	39.989011	51.1560299	60.2413941	133	16.1540598	0	2	3.6112456	5	10	1.7423604	2.2794894	
Bowser Jr	2	32.418%	4	9.7994859	12.9325449	16	20	4.1899978	38	81.8204565	93.1111728	104	157	16.3194324	12	42	53.3675736	62	148	16.2885935	0	2	3.0747733	4	10	1.629199	2.5345796	
Bowser Jr	1	31.452%	2	4	8.0656315	11	20	4.5786461	30	70.580825	80.6578914	90.995116	135	14.7813421	10	43.7957091	55.0770062	64	150	16.2959087	0	2	2.6355717	4	10	1.5130628	2.7482513	
