Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Boo	0	23.66078%	1	1	1	1	1	0	5	68.7134246	77.4685433	86.3602981	132	13.3019383	0	32.7652162	47.0833075	57.9969134	209	20.3844724	0	1	2.0640156	3	10	1.3635685	3.0760203	
Boo	1	29.10242%	2	5	9.140806	13	20	5.0424555	22	81.9990903	92.7427815	103.168143	161	15.6784801	0	38.9976885	53.5056995	64.9927709	200	20.6633115	0	1	2.5337948	3.3800785	12	1.5495579	2.8114198	
Boo	2	25.22234%	3	9	12.5735477	16.4413467	20	4.6308352	27	93.9992884	106.0150803	117.9903457	185	17.5787758	3	39	53.5479523	64.6018237	205	20.2249696	0	2	3.0685258	4	13	1.6944765	2.5429433	
Boo	3	14.26566%	4	12	14.8160573	18	20	3.8735758	37	106.9973986	119.8955253	132.9826575	201	18.977094	0	39	53.3503546	63.9991256	207	19.9222105	0	2	3.6765912	5	13	1.7988042	2.2454594	
Boo	4	7.7488%	5	14	16.2745715	19	20	3.1608952	54	123.0726023	137.7190817	151.9764121	219	20.9399582	0	38.3201268	52.3899184	62.9935218	197	19.5007344	0	3	4.3158605	5.6953522	14	1.8427838	1.9562487	
Bowser Jr	0	8.83998%	1	1	1	1	1	0	23	59	68.4083561	76.9918234	136	13.0152178	12	49	63.8047711	74.3538804	207	20.3677994	0	1	2.2793513	3	10	1.4041395	2.7993728	
Bowser Jr	1	31.03548%	2	4	7.9755009	10.9997006	20	4.6100152	26	70	80.6975661	90.9973554	164	14.9737089	6	46	60.666436	71.6929889	203	20.5645633	0	1.2191806	2.5938545	4	12	1.5219807	2.6840629	
Bowser Jr	2	32.55192%	4	9	12.8552694	16	20	4.2386482	32	81.7442467	93.1352522	103.9984824	180	16.5222827	6	43.9998732	58.6440081	69.6147482	202	20.4528041	0	2	3.0463696	4	14	1.6626003	2.4729951	
Bowser Jr	3	18.32882%	5	13	15.3650883	18	20	3.4429593	35	93.4578667	105.6664914	117.6068541	192	17.7019455	6	41.9993161	56.4198154	67.041796	194	20.2391662	0	2	3.6183268	5	14	1.776246	2.2124676	
Bowser Jr	4	9.2438%	6	15	16.7070014	19	20	2.8131506	47	107.1318389	120.5666306	133.4308264	209	19.1209076	4	39	53.4838703	64.2463452	193	20.1426473	0	3	4.2777905	5	15	1.8373968	1.931037	
